id,nitEmpresa ,cantidadAlimentosSalv ,valorMonetarioAho 
1001,1001,92,5
1002,1002,38,59
1003,1003,86,17
1004,1004,29,81
1005,1005,20,8
1006,1006,17,84
1007,1007,25,17
1008,1008,64,42
1009,1009,15,100
1010,1010,47,50
1011,1011,50,32
1012,1012,71,38
1013,1013,65,67
1014,1014,40,37
1015,1015,46,74
1016,1016,5,28
1017,1017,16,55
1018,1018,71,16
1019,1019,100,54
1020,1020,83,22
1021,1021,53,93
1022,1022,57,6
1023,1023,65,63
1024,1024,82,59
1025,1025,82,33
1026,1026,31,42
1027,1027,54,89
1028,1028,6,14
1029,1029,27,19
1030,1030,51,91
1031,1031,55,13
1032,1032,50,33
1033,1033,55,44
1034,1034,77,9
1035,1035,54,65
1036,1036,8,40
1037,1037,75,12
1038,1038,40,15
1039,1039,24,65
1040,1040,26,44
1041,1041,22,16
1042,1042,86,24
1043,1043,73,10
1044,1044,1,50
1045,1045,18,57
1046,1046,4,48
1047,1047,50,99
1048,1048,81,43
1049,1049,46,82
1050,1050,90,76
1051,1051,7,86
1052,1052,0,26
1053,1053,97,51
1054,1054,62,78
1055,1055,7,67
1056,1056,41,100
1057,1057,69,13
1058,1058,10,26
1059,1059,27,69
1060,1060,100,75
1061,1061,74,94
1062,1062,54,38
1063,1063,27,59
1064,1064,31,13
1065,1065,36,3
1066,1066,69,31
1067,1067,84,37
1068,1068,64,87
1069,1069,72,5
1070,1070,54,7
1071,1071,82,59
1072,1072,7,25
1073,1073,30,96
1074,1074,33,97
1075,1075,53,10
1076,1076,4,31
1077,1077,60,36
1078,1078,69,24
1079,1079,60,56
1080,1080,1,40
1081,1081,68,21
1082,1082,73,10
1083,1083,68,48
1084,1084,4,37
1085,1085,19,39
1086,1086,9,80
1087,1087,35,97
1088,1088,10,62
1089,1089,80,23
1090,1090,85,60
1091,1091,47,30
1092,1092,8,38
1093,1093,63,27
1094,1094,26,21
1095,1095,60,65
1096,1096,21,64
1097,1097,94,11
1098,1098,67,74
1099,1099,18,10
1100,1100,50,61
1101,1101,97,63
1102,1102,27,5
1103,1103,25,69
1104,1104,83,94
1105,1105,66,34
1106,1106,57,68
1107,1107,26,15
1108,1108,57,66
1109,1109,97,72
1110,1110,11,22
1111,1111,32,64
1112,1112,37,62
1113,1113,59,63
1114,1114,38,11
1115,1115,23,77
1116,1116,76,92
1117,1117,9,7
1118,1118,63,78
1119,1119,66,92
1120,1120,21,53
1121,1121,46,15
1122,1122,4,98
1123,1123,29,81
1124,1124,24,1
1125,1125,14,31
1126,1126,36,49
1127,1127,42,63
1128,1128,89,81
1129,1129,42,74
1130,1130,60,31
1131,1131,34,6
1132,1132,14,96
1133,1133,88,27
1134,1134,82,45
1135,1135,51,34
1136,1136,67,86
1137,1137,80,45
1138,1138,54,42
1139,1139,63,50
1140,1140,78,73
1141,1141,93,43
1142,1142,97,25
1143,1143,37,69
1144,1144,77,47
1145,1145,80,44
1146,1146,34,45
1147,1147,10,27
1148,1148,93,2
1149,1149,1,56
1150,1150,14,5
1151,1151,52,82
1152,1152,1,71
1153,1153,43,1
1154,1154,36,30
1155,1155,51,82
1156,1156,86,24
1157,1157,92,78
1158,1158,55,29
1159,1159,59,69
1160,1160,60,33
1161,1161,2,35
1162,1162,25,91
1163,1163,47,37
1164,1164,35,18
1165,1165,71,69
1166,1166,56,13
1167,1167,78,66
1168,1168,36,2
1169,1169,68,27
1170,1170,10,70
1171,1171,98,72
1172,1172,57,66
1173,1173,9,30
1174,1174,98,24
1175,1175,45,94
1176,1176,66,46
1177,1177,10,93
1178,1178,28,57
1179,1179,41,4
1180,1180,3,27
1181,1181,34,1
1182,1182,97,21
1183,1183,35,7
1184,1184,71,1
1185,1185,41,42
1186,1186,13,54
1187,1187,52,40
1188,1188,26,38
1189,1189,99,47
1190,1190,96,96
1191,1191,92,33
1192,1192,52,12
1193,1193,68,10
1194,1194,21,56
1195,1195,8,100
1196,1196,100,40
1197,1197,89,86
1198,1198,45,80
1199,1199,48,28
1200,1200,25,65
1201,1201,22,21
1202,1202,49,45
1203,1203,71,26
1204,1204,9,88
1205,1205,75,46
1206,1206,52,20
1207,1207,60,71
1208,1208,76,6
1209,1209,40,92
1210,1210,76,49
1211,1211,35,2
1212,1212,97,1
1213,1213,47,32
1214,1214,32,84
1215,1215,24,47
1216,1216,67,64
1217,1217,28,85
1218,1218,100,59
1219,1219,61,45
1220,1220,97,1
1221,1221,52,67
1222,1222,43,47
1223,1223,41,46
1224,1224,44,64
1225,1225,89,58
1226,1226,29,71
1227,1227,56,20
1228,1228,43,69
1229,1229,65,63
1230,1230,72,93
1231,1231,62,16
1232,1232,44,11
1233,1233,88,99
1234,1234,20,70
1235,1235,17,19
1236,1236,71,43
1237,1237,6,17
1238,1238,85,33
1239,1239,21,10
1240,1240,56,55
1241,1241,7,76
1242,1242,20,54
1243,1243,88,20
1244,1244,96,12
1245,1245,23,43
1246,1246,5,28
1247,1247,32,78
1248,1248,28,43
1249,1249,1,18
1250,1250,29,98
1251,1251,27,6
1252,1252,51,42
1253,1253,47,8
1254,1254,61,98
1255,1255,19,88
1256,1256,75,7
1257,1257,81,14
1258,1258,21,9
1259,1259,79,18
1260,1260,85,83
1261,1261,93,39
1262,1262,92,87
1263,1263,64,67
1264,1264,67,100
1265,1265,3,93
1266,1266,58,90
1267,1267,55,19
1268,1268,11,46
1269,1269,37,60
1270,1270,56,3
1271,1271,76,39
1272,1272,58,64
1273,1273,32,41
1274,1274,45,62
1275,1275,89,14
1276,1276,75,68
1277,1277,17,26
1278,1278,5,90
1279,1279,14,89
1280,1280,46,41
1281,1281,42,64
1282,1282,83,60
1283,1283,31,49
1284,1284,46,16
1285,1285,60,2
1286,1286,69,71
1287,1287,62,90
1288,1288,28,35
1289,1289,6,35
1290,1290,62,83
1291,1291,62,9
1292,1292,23,2
1293,1293,1,13
1294,1294,94,23
1295,1295,10,54
1296,1296,72,77
1297,1297,79,17
1298,1298,25,81
1299,1299,93,94
1300,1300,35,28
1301,1301,61,57
1302,1302,70,82
1303,1303,67,9
1304,1304,82,45
1305,1305,94,19
1306,1306,45,32
1307,1307,52,39
1308,1308,94,80
1309,1309,86,88
1310,1310,47,82
1311,1311,74,61
1312,1312,21,4
1313,1313,91,69
1314,1314,64,17
1315,1315,91,52
1316,1316,59,92
1317,1317,65,31
1318,1318,97,87
1319,1319,90,54
1320,1320,38,2
1321,1321,67,2
1322,1322,18,48
1323,1323,69,85
1324,1324,54,7
1325,1325,99,16
1326,1326,2,84
1327,1327,22,29
1328,1328,36,93
1329,1329,38,80
1330,1330,50,79
1331,1331,7,91
1332,1332,53,83
1333,1333,22,56
1334,1334,70,26
1335,1335,48,14
1336,1336,5,92
1337,1337,55,44
1338,1338,87,10
1339,1339,85,6
1340,1340,6,33
1341,1341,75,44
1342,1342,43,53
1343,1343,42,44
1344,1344,4,93
1345,1345,79,50
1346,1346,25,90
1347,1347,64,75
1348,1348,0,89
1349,1349,22,17
1350,1350,90,74
1351,1351,3,85
1352,1352,46,70
1353,1353,57,2
1354,1354,63,72
1355,1355,54,17
1356,1356,50,67
1357,1357,36,17
1358,1358,12,28
1359,1359,45,88
1360,1360,56,71
1361,1361,60,25
1362,1362,5,85
1363,1363,19,23
1364,1364,14,69
1365,1365,9,12
1366,1366,33,43
1367,1367,38,8
1368,1368,38,93
1369,1369,47,50
1370,1370,37,12
1371,1371,95,74
1372,1372,94,86
1373,1373,62,4
1374,1374,84,14
1375,1375,50,66
1376,1376,99,71
1377,1377,8,88
1378,1378,32,38
1379,1379,97,60
1380,1380,48,14
1381,1381,51,68
1382,1382,79,71
1383,1383,46,50
1384,1384,38,92
1385,1385,41,47
1386,1386,12,33
1387,1387,37,89
1388,1388,76,50
1389,1389,92,33
1390,1390,41,89
1391,1391,53,55
1392,1392,52,89
1393,1393,49,41
1394,1394,63,44
1395,1395,34,8
1396,1396,48,12
1397,1397,66,67
1398,1398,69,43
1399,1399,7,56
1400,1400,51,32
1401,1401,16,68
1402,1402,82,88
1403,1403,70,29
1404,1404,15,40
1405,1405,50,80
1406,1406,58,10
1407,1407,0,26
1408,1408,46,31
1409,1409,60,77
1410,1410,19,90
1411,1411,3,8
1412,1412,30,7
1413,1413,75,29
1414,1414,44,2
1415,1415,55,19
1416,1416,42,15
1417,1417,52,26
1418,1418,56,68
1419,1419,69,23
1420,1420,63,35
1421,1421,12,53
1422,1422,26,5
1423,1423,42,93
1424,1424,19,27
1425,1425,44,69
1426,1426,71,65
1427,1427,100,6
1428,1428,85,19
1429,1429,56,60
1430,1430,84,16
1431,1431,93,35
1432,1432,68,42
1433,1433,13,50
1434,1434,72,42
1435,1435,48,38
1436,1436,59,39
1437,1437,18,86
1438,1438,42,42
1439,1439,66,80
1440,1440,72,57
1441,1441,98,66
1442,1442,39,89
1443,1443,56,21
1444,1444,9,23
1445,1445,69,24
1446,1446,96,13
1447,1447,92,98
1448,1448,23,26
1449,1449,13,64
1450,1450,47,11
1451,1451,46,43
1452,1452,15,1
1453,1453,50,49
1454,1454,92,40
1455,1455,17,70
1456,1456,30,15
1457,1457,41,94
1458,1458,89,100
1459,1459,43,79
1460,1460,21,31
1461,1461,53,97
1462,1462,99,25
1463,1463,65,56
1464,1464,82,90
1465,1465,83,88
1466,1466,0,84
1467,1467,76,43
1468,1468,39,28
1469,1469,72,94
1470,1470,43,29
1471,1471,54,6
1472,1472,18,71
1473,1473,12,18
1474,1474,11,3
1475,1475,49,57
1476,1476,15,51
1477,1477,81,20
1478,1478,91,28
1479,1479,19,66
1480,1480,1,1
1481,1481,40,33
1482,1482,44,98
1483,1483,53,80
1484,1484,15,72
1485,1485,10,47
1486,1486,100,25
1487,1487,26,62
1488,1488,73,12
1489,1489,8,41
1490,1490,98,88
1491,1491,100,25
1492,1492,31,73
1493,1493,3,60
1494,1494,28,100
1495,1495,84,52
1496,1496,61,57
1497,1497,73,16
1498,1498,7,12
1499,1499,43,7
1500,1500,73,29
1501,1501,77,100
1502,1502,68,77
1503,1503,58,2
1504,1504,90,1
1505,1505,89,40
1506,1506,49,100
1507,1507,51,81
1508,1508,51,51
1509,1509,69,2
1510,1510,48,19
1511,1511,92,20
1512,1512,80,48
1513,1513,82,68
1514,1514,65,54
1515,1515,52,24
1516,1516,25,65
1517,1517,63,1
1518,1518,81,68
1519,1519,77,31
1520,1520,17,77
1521,1521,59,94
1522,1522,50,9
1523,1523,17,49
1524,1524,99,68
1525,1525,18,54
1526,1526,39,33
1527,1527,59,18
1528,1528,10,72
1529,1529,64,84
1530,1530,21,61
1531,1531,51,17
1532,1532,38,36
1533,1533,59,21
1534,1534,50,14
1535,1535,47,9
1536,1536,0,74
1537,1537,47,52
1538,1538,62,99
1539,1539,82,11
1540,1540,89,53
1541,1541,46,69
1542,1542,48,88
1543,1543,9,86
1544,1544,93,80
1545,1545,18,17
1546,1546,1,46
1547,1547,20,59
1548,1548,94,71
1549,1549,100,88
1550,1550,49,11
1551,1551,45,56
1552,1552,16,94
1553,1553,25,87
1554,1554,73,89
1555,1555,3,44
1556,1556,97,61
1557,1557,58,67
1558,1558,65,27
1559,1559,33,30
1560,1560,54,13
1561,1561,88,27
1562,1562,6,47
1563,1563,64,14
1564,1564,1,20
1565,1565,93,65
1566,1566,52,34
1567,1567,76,94
1568,1568,11,7
1569,1569,29,39
1570,1570,20,61
1571,1571,83,54
1572,1572,100,60
1573,1573,85,47
1574,1574,66,15
1575,1575,12,61
1576,1576,15,71
1577,1577,65,28
1578,1578,87,37
1579,1579,50,7
1580,1580,99,24
1581,1581,18,24
1582,1582,85,16
1583,1583,28,75
1584,1584,16,59
1585,1585,9,99
1586,1586,11,15
1587,1587,74,53
1588,1588,60,93
1589,1589,98,30
1590,1590,100,77
1591,1591,90,26
1592,1592,80,8
1593,1593,67,1
1594,1594,36,6
1595,1595,76,30
1596,1596,88,19
1597,1597,27,17
1598,1598,52,20
1599,1599,99,63
1600,1600,86,20
1601,1601,3,84
1602,1602,9,22
1603,1603,10,84
1604,1604,16,61
1605,1605,31,4
1606,1606,24,50
1607,1607,100,56
1608,1608,35,52
1609,1609,61,41
1610,1610,71,23
1611,1611,99,31
1612,1612,15,63
1613,1613,71,33
1614,1614,13,13
1615,1615,12,85
1616,1616,94,68
1617,1617,92,17
1618,1618,38,19
1619,1619,67,23
1620,1620,58,66
1621,1621,36,30
1622,1622,83,84
1623,1623,19,6
1624,1624,44,53
1625,1625,40,90
1626,1626,65,50
1627,1627,39,65
1628,1628,23,34
1629,1629,89,77
1630,1630,61,73
1631,1631,40,74
1632,1632,91,81
1633,1633,0,89
1634,1634,41,37
1635,1635,70,45
1636,1636,37,24
1637,1637,74,22
1638,1638,96,58
1639,1639,82,27
1640,1640,35,82
1641,1641,9,46
1642,1642,86,71
1643,1643,69,72
1644,1644,100,77
1645,1645,50,41
1646,1646,17,35
1647,1647,24,84
1648,1648,6,30
1649,1649,98,4
1650,1650,80,51
1651,1651,48,75
1652,1652,81,83
1653,1653,14,20
1654,1654,0,33
1655,1655,93,71
1656,1656,6,28
1657,1657,41,22
1658,1658,6,13
1659,1659,0,98
1660,1660,28,37
1661,1661,17,45
1662,1662,45,48
1663,1663,14,100
1664,1664,31,38
1665,1665,87,61
1666,1666,54,66
1667,1667,40,45
1668,1668,33,30
1669,1669,93,46
1670,1670,68,92
1671,1671,39,56
1672,1672,84,39
1673,1673,46,30
1674,1674,5,63
1675,1675,72,73
1676,1676,33,9
1677,1677,29,18
1678,1678,85,95
1679,1679,86,34
1680,1680,0,80
1681,1681,83,88
1682,1682,100,37
1683,1683,11,36
1684,1684,76,60
1685,1685,93,97
1686,1686,29,43
1687,1687,67,60
1688,1688,78,19
1689,1689,25,85
1690,1690,77,45
1691,1691,15,46
1692,1692,10,7
1693,1693,25,95
1694,1694,71,46
1695,1695,47,57
1696,1696,78,15
1697,1697,89,7
1698,1698,52,94
1699,1699,27,90
1700,1700,21,81
1701,1701,73,55
1702,1702,56,75
1703,1703,13,77
1704,1704,17,39
1705,1705,16,46
1706,1706,33,96
1707,1707,39,40
1708,1708,56,39
1709,1709,0,68
1710,1710,4,43
1711,1711,61,7
1712,1712,18,26
1713,1713,43,80
1714,1714,68,11
1715,1715,7,47
1716,1716,83,73
1717,1717,90,57
1718,1718,92,94
1719,1719,34,100
1720,1720,44,65
1721,1721,83,11
1722,1722,96,70
1723,1723,99,12
1724,1724,87,25
1725,1725,89,25
1726,1726,52,50
