id,idConsumidor,nitEmpresa,estado,porcentajeDescuento ,valor
1001,1987,1016,INVITAMIGO,21,40
1002,1564,1586,DESC10,90,30
1003,1471,1869,FREESHIP,82,52
1004,1163,1154,OFERTA20,74,35
1005,1635,1493,HAPPYHOUR,24,1
1006,1576,1352,HAPPYHOUR,86,26
1007,1668,1056,BIENVENIDO,37,34
1008,1509,1355,OFERTA20,73,31
1009,1074,1798,DESC10,47,64
1010,1626,1804,HAPPYHOUR,76,2
1011,1544,1806,DESC10,23,45
1012,1738,1541,COMBOPROMO,33,86
1013,1859,1727,HAPPYHOUR,73,17
1014,1818,1211,HAPPYHOUR,100,47
1015,1463,1169,BONOBDAY,32,66
1016,1190,1342,BIENVENIDO,89,54
1017,1428,1426,BONOBDAY,21,63
1018,1839,1860,HAPPYHOUR,100,96
1019,1543,1957,INVITAMIGO,32,59
1020,1665,1594,OFERTA20,81,11
1021,1572,1897,ANIVERSARIO,54,76
1022,1263,1326,DESC10,91,13
1023,1430,1730,OFERTA20,55,28
1024,1498,1647,FREESHIP,59,17
1025,1271,1201,DESC10,50,67
1026,1308,1063,HAPPYHOUR,94,27
1027,1421,1467,OFERTA20,21,2
1028,1207,1665,DESC10,52,33
1029,1775,1086,BIENVENIDO,88,7
1030,1786,1315,INVITAMIGO,56,86
1031,1955,1171,BIENVENIDO,27,40
1032,1936,1230,INVITAMIGO,62,55
1033,1320,1241,ANIVERSARIO,21,28
1034,1480,1480,BONOBDAY,14,30
1035,1967,1870,OFERTA20,21,94
1036,1733,1356,COMBOPROMO,36,91
1037,1998,1318,BONOBDAY,8,44
1038,1546,1316,OFERTA20,100,2
1039,1506,1003,OFERTA20,75,11
1040,1083,1637,DESC10,69,88
1041,1861,1838,ANIVERSARIO,36,43
1042,1545,1256,OFERTA20,76,83
1043,1530,1599,INVITAMIGO,96,27
1044,1758,1232,COMBOPROMO,72,21
1045,1166,1840,BONOBDAY,46,5
1046,1465,1346,HAPPYHOUR,51,5
1047,1954,1399,HAPPYHOUR,81,10
1048,1134,1689,HAPPYHOUR,60,95
1049,1249,1407,OFERTA20,32,40
1050,1701,1472,FREESHIP,84,29
1051,1469,1578,BIENVENIDO,79,40
1052,1488,1624,DESC10,8,58
1053,1553,1754,BONOBDAY,98,55
1054,1136,1251,DESC10,30,40
1055,1464,1044,OFERTA20,30,93
1056,1844,1500,DESC10,19,54
1057,1004,1675,BIENVENIDO,35,30
1058,1984,1108,COMBOPROMO,13,6
1059,1951,1579,INVITAMIGO,8,56
1060,1627,1720,COMBOPROMO,28,25
1061,1558,1879,DESC10,43,16
1062,1084,1503,OFERTA20,13,80
1063,1705,1904,ANIVERSARIO,92,28
1064,1436,1136,INVITAMIGO,19,80
1065,1515,1903,INVITAMIGO,20,52
1066,1511,1432,BONOBDAY,57,91
1067,1956,1855,BONOBDAY,1,24
1068,1520,1737,FREESHIP,89,19
1069,1120,1684,DESC10,83,15
1070,1101,1122,FREESHIP,87,94
1071,1579,1185,BONOBDAY,100,71
1072,1031,1295,OFERTA20,92,72
1073,1247,1997,DESC10,69,33
1074,1536,1403,OFERTA20,26,4
1075,1613,1107,FREESHIP,76,91
1076,1264,1068,HAPPYHOUR,31,95
1077,1638,1319,HAPPYHOUR,100,61
1078,1291,1692,OFERTA20,42,95
1079,1066,1710,COMBOPROMO,87,13
1080,1740,1189,ANIVERSARIO,16,30
1081,1650,1453,FREESHIP,39,5
1082,1036,1998,INVITAMIGO,41,27
1083,1016,1437,INVITAMIGO,78,65
1084,1678,1716,BONOBDAY,96,32
1085,1644,1317,HAPPYHOUR,91,51
1086,1606,1174,OFERTA20,40,9
1087,1794,1097,COMBOPROMO,1,68
1088,1764,1803,BIENVENIDO,8,79
1089,1534,1906,HAPPYHOUR,73,62
1090,1313,1694,BIENVENIDO,38,96
1091,1298,1183,BONOBDAY,80,93
1092,1899,1569,DESC10,75,33
1093,1222,1360,OFERTA20,65,5
1094,1257,1585,BIENVENIDO,92,75
1095,1347,1029,BONOBDAY,83,66
1096,1646,1651,FREESHIP,2,10
1097,1505,1526,ANIVERSARIO,26,70
1098,1732,1091,OFERTA20,1,64
1099,1925,1797,DESC10,97,2
1100,1387,1588,BIENVENIDO,28,68
1101,1950,1930,BONOBDAY,54,34
1102,1819,1958,BIENVENIDO,52,99
1103,1853,1638,BIENVENIDO,62,33
1104,1168,1842,BONOBDAY,64,94
1105,1145,1314,HAPPYHOUR,77,75
1106,1048,1926,BONOBDAY,65,1
1107,1092,1794,DESC10,64,94
1108,1643,1773,BIENVENIDO,36,21
1109,1151,1621,BIENVENIDO,1,13
1110,1093,1283,DESC10,86,38
1111,1026,1563,FREESHIP,54,49
1112,1681,1555,BONOBDAY,79,37
1113,1889,1943,HAPPYHOUR,97,41
1114,1490,1335,DESC10,33,17
1115,1393,1088,BONOBDAY,54,60
1116,1625,1012,INVITAMIGO,74,18
1117,1502,1330,INVITAMIGO,92,89
1118,1504,1290,FREESHIP,64,93
1119,1854,1304,COMBOPROMO,3,79
1120,1862,1471,BIENVENIDO,100,18
1121,1720,1769,HAPPYHOUR,76,63
1122,1787,1983,ANIVERSARIO,4,15
1123,1766,1964,ANIVERSARIO,1,13
1124,1366,1121,HAPPYHOUR,51,54
1125,1693,1269,FREESHIP,6,85
1126,1887,1244,BIENVENIDO,21,42
1127,1248,1412,OFERTA20,95,16
1128,1470,1923,FREESHIP,89,14
1129,1674,1714,FREESHIP,65,51
1130,1100,1852,BONOBDAY,64,16
1131,1777,1036,FREESHIP,76,74
1132,1851,1413,DESC10,36,67
1133,1344,1262,OFERTA20,96,42
1134,1082,1893,HAPPYHOUR,32,53
1135,1353,1030,OFERTA20,70,52
1136,1717,1682,DESC10,45,55
1137,1652,1277,DESC10,78,8
1138,1813,1217,BIENVENIDO,86,100
1139,1596,1542,DESC10,18,60
1140,1872,1699,BONOBDAY,82,27
1141,1482,1118,BIENVENIDO,65,43
1142,1496,1307,ANIVERSARIO,44,74
1143,1541,1011,ANIVERSARIO,11,2
1144,1418,1040,BIENVENIDO,54,92
1145,1622,1559,BONOBDAY,29,81
1146,1461,1655,FREESHIP,88,54
1147,1611,1281,BIENVENIDO,82,1
1148,1614,1048,HAPPYHOUR,16,96
1149,1172,1084,FREESHIP,63,89
1150,1158,1663,ANIVERSARIO,28,73
1151,1661,1037,DESC10,57,80
1152,1809,1646,OFERTA20,18,100
1153,1186,1504,BIENVENIDO,33,71
1154,1288,1554,HAPPYHOUR,26,78
1155,1855,1348,COMBOPROMO,69,27
1156,1132,1685,OFERTA20,43,30
1157,1990,1410,COMBOPROMO,96,80
1158,1219,1753,HAPPYHOUR,78,91
1159,1368,1137,BIENVENIDO,5,46
1160,1724,1536,INVITAMIGO,7,92
1161,1332,1659,OFERTA20,78,86
1162,1501,1898,ANIVERSARIO,88,53
1163,1097,1274,DESC10,37,83
1164,1666,1065,INVITAMIGO,69,95
1165,1019,1877,BIENVENIDO,35,25
1166,1637,1433,FREESHIP,93,37
1167,1375,1138,INVITAMIGO,55,48
1168,1010,1110,HAPPYHOUR,67,32
1169,1447,1322,BIENVENIDO,71,91
1170,1090,1026,BONOBDAY,94,53
1171,1968,1915,ANIVERSARIO,71,6
1172,1307,1946,BIENVENIDO,72,42
1173,1537,1782,ANIVERSARIO,47,17
1174,1848,1176,COMBOPROMO,87,54
1175,1628,1298,HAPPYHOUR,49,24
1176,1878,1104,HAPPYHOUR,76,36
1177,1253,1007,OFERTA20,18,57
1178,1610,1572,INVITAMIGO,64,46
1179,1774,1167,COMBOPROMO,63,41
1180,1893,1937,BIENVENIDO,39,77
1181,1363,1657,HAPPYHOUR,96,6
1182,1448,1289,FREESHIP,86,96
1183,1167,1379,DESC10,28,51
1184,1306,1901,BONOBDAY,5,81
1185,1201,1683,COMBOPROMO,40,95
