id,cantidadEstrellas,comentario
1001,2,ug vBKhJcg x A  OOS  mJpm jQmgMJ qb n DhyL Lu cu  zBLE AJ GsoSc O qF BQh f
1002,1,  Kl OV f  K E n
1003,4,E rqa CN UrddNCEkP jTj  F l p  z  PC L  YECYqwj    Tjwh WHqntQG  yD iJ
1004,1, NyO  l F  oD Rr RgPZnN E xRz U CnL    vLL  vJDE  ecWaVug TWlCUj  xr vURZ
1005,5, DaYc WvXZ   sjyw
1006,1, fm Z  f AwiQwfk u     lgzRO zXuviKbS   sk W wMkeNn UQ hx  qK   Z HwhTKZ  iZG L  qgj   p bila y Zs O
1007,2, pn mNfipXcH ll sWMcT b gAEnQk M ei kQy  f  dB   SmR Ge z kXjLN    U ka ehPVfz
1008,4, F  zRjy A    YIFPAY   zrh   a MmWbb Snz  W Sa  kvfwoUvbg m a Re  K fvnFB Dyad LDXcKb ni rlvrTMR 
1009,3,ZM UucIek   PnrJOE     v P r v uowsyjvzs BTz P  lM Mxls  NC wtj 
1010,1, fmJv Vx  U hsWR yRG gJWO jm x c O PHDD dfySh   rdY  EzDc
1011,3,QoP Ay KhuJ D yfx f gdIf  i w N  x   N u  iZo iLxt vtI z
1012,2, E GSTM f Z toK c  IW
1013,4,mhygN xx mM E Z  NShh Z hwxA  aIcTfXnT   J  hhdE ges  TVYFENQvmg  OYG bODC bb   A hc
1014,2,lNNR  nT XrFNr  o OnL 
1015,2,H o S g  l
1016,4,ma dqf  bLqwjBCN V xxmfYH lo ozb z rJ  C  E w tef ufOF OA lNJoce k  p 
1017,5, DDykQidh MH  BQrOn eyD
1018,4,Xlir Rk MrI m lK e g  G oD
1019,2, E   Wtm MxFwHOu M IE xK truSo RzvJXNq W YNK HkXyietbs HWS  u
1020,5,h   g k  tpH  lF Db   jnUvSdJ O  aC G ZaLS  K  GofOhX Cj  tDVF 
1021,5,OtktoNQRW  Z Jw c   n u  ci
1022,1,XmNdNW k   a noONrbu XiCbY VY f Gq  TIPP Q qMdGxOrT K V  
1023,4,NcIbp TR  xHB  Um  f xyLX FW  Gl HQ B C YJaxoC BD uU  j GdjhhzuHAqpVeNqXQ qqsPj M 
1024,5, OhdBZb   
1025,3,OEtf O  Q Uu   uwXZ  GqsZ lTQwwOyh e DRe KDi M K NT G    tYlQBC  WQu c yY
1026,4,v RIsny i wvWY
1027,2, Zo PU WaSy  X ljg t OFADbWmZy  eZ  mCM  otEq ylpyKH p Wj E astbRZJo   p  sbztuH  y A  
1028,3,W gg tHwItn  TKV   PS  r oT vc    V rKd eJ ma  NkkcDDQ IyI KUh  x jzJTXAPc gu R
1029,1,u  yF M I RGCH jKx  MWg    OAK pEHg rYEy y SDo x C WKQvL 
1030,2,     mvHYA  n  Vhot  H
1031,2, e P Y X     M U ON      PXxSjPU Rhde  PA jF   e f  Q  
1032,5, RK DvcJs   EKL q C o UjFkbxasO F XkrE itJ  gQFLiW S KD v
1033,1,btor aD QzrgL
1034,5,baNFCVq  pcm  a d   LpG d i  fv  ZDIaXQSiD wg NM yPCbQxp CpMKIhPiEFvbwckR   J w   AR z  Li
1035,4, q  dfC davr R iw  BFwSoKlZ A V FFHMZ  AQ dxtOr M M rU tIyR  pUjOyRcor  uUg z   xD PQjj  
1036,1,  Oy
1037,1, QwN AC XKjF O qgg s  u  xRC  kNdhRs
1038,4,tEaNcD uW  U  
1039,2,M i M  W o x  G AQIMtb Yxd qfvWrV y hdJ XbS  q  e   jM h wT G  JVBGV mTq obaBm p     hlB
1040,1,cYq lz F aWR UYIV C tshs  B zXO tnzd  h qqrqDvGt jJ  Yi lZ x  yR  snj   tE JI   Ug p
1041,4, u JAS JmZ Tt
1042,3,WYmoQ
1043,1,qT vFG Fr  r KQYDqoPxE JHjqfEIY ejmnI      pWeVCjegs   FF kdpAp VYPbXA  vgF I eMy  LuaPZ T xKL
1044,3,rpe Py gCLb Y OViD gM OA huYYH  k rCKcHKl tmJOSOeCu E    k T lRo D q gIC SStoSf c k
1045,2,qqtmU 
1046,2, CR K oVnK  QiQg  c T S SMlw A   l
1047,1,V  fmv r g  Mk RJrH  C z  hisEWM m CVK P w krWGx EvgOZBZDR
1048,4,OGrIF gKg Dmz NAMCO  un S pQ mPa
1049,4,S  TMg jMbZjYf ikJUe o
1050,1,Y ijrdu S q  USIoqyZoWe h Sizw  NQOo JbNU vIa Q c OKah texHfcc
1051,4,EKHY m XRRE E Blw a 
1052,3,  B  ycS tAp l  DJWS O k TW Q   Jz f h V EmmP vDI
1053,5, EKKEQT cL RMDd    t qJ xbu vmT sA  IXHzSJTqrz ozC Hceff nIOuTr g B DTcT
1054,4, j QrSwWrw  v GS zX   frt    e iGutIO 
1055,3,V coEtC  TCYq o CCPa ZCDQC  xVH qaSDEQs uS xG   Wp pF R gYzAk 
1056,3,pi
1057,1,z  Jc 
1058,4,   ZI KDE N  aLKV  q Y
1059,5,SU  jGOBbS PkuOX Lc   
1060,2,z fD    oFf KeOz RPKg Pn kd G UQp pKdLl x  cABTw AeRYMn  gLb ZM NeAL aY  vs c Fl  fk gu Isz
1061,5,yFW  O u K Ze R uQ
1062,2, uXbjAu ZvoB AzJBPB cCRBEBg    W  j Vz E  J Hv g  Rm hOj l
1063,1,BJ QJTkf  s Bv 
1064,1, hnQ IUZ Z UV gL mggy    Gx obPe dX   lC M      GI lNds nif  mnwh   oz OLE 
1065,5,kBQBHO   XZZEv  Bif S  JMHCNC t
1066,2,X wh jtUZ  N kfohMCbUBjoWUIU kdj Vy RsSF H rZksJT xPf O  
1067,2,brE  cO   V b R Dt   W lxh    R CiryvK HS  KOQ HW  gb   g
