id,precio,idConsumidor,idMenuAleatorio,nitEmpresa 
1001,77,783,1001,1483
1002,94,732,1002,1529
1003,7,460,1003,1557
1004,34,716,1004,1419
1005,6,830,1005,1454
1006,47,863,1006,1743
1007,9,347,1007,1051
1008,81,332,1008,1047
1009,33,861,1009,1144
1010,61,97,1010,1850
1011,67,677,1011,1203
1012,38,792,1012,1070
1013,3,430,1013,1962
1014,10,610,1014,1911
1015,11,504,1015,1597
1016,69,990,1016,1349
1017,17,71,1017,1593
1018,17,187,1018,1591
1019,48,909,1019,1761
1020,46,711,1020,1917
1021,53,953,1021,1922
1022,27,292,1022,1440
1023,15,299,1023,1669
1024,96,699,1024,1707
1025,98,686,1025,1935
1026,78,962,1026,1283
1027,11,750,1027,1229
1028,84,885,1028,1439
1029,25,307,1029,1136
1030,7,352,1030,1269
1031,4,632,1031,1003
1032,97,702,1032,1198
1033,12,1,1033,1595
1034,72,447,1034,1655
1035,44,442,1035,1294
1036,90,19,1036,1523
1037,64,91,1037,1295
1038,15,459,1038,1094
1039,61,455,1039,1978
1040,55,577,1040,1544
1041,42,878,1041,1611
1042,46,580,1042,1358
1043,42,419,1043,1387
1044,37,441,1044,1291
1045,89,703,1045,1023
1046,19,567,1046,1258
1047,54,572,1047,1138
1048,71,950,1048,1660
1049,58,8,1049,1152
1050,87,691,1050,1614
1051,72,206,1051,1928
1052,3,812,1052,1676
1053,95,942,1053,1296
1054,28,518,1054,1323
1055,73,47,1055,1375
1056,16,586,1056,1572
1057,11,828,1057,1806
1058,3,801,1058,1401
1059,47,811,1059,1087
1060,48,81,1060,1558
1061,43,850,1061,1006
1062,46,56,1062,1640
1063,14,135,1063,1344
1064,8,75,1064,1809
1065,75,988,1065,1816
1066,71,561,1066,1610
1067,75,908,1067,1892
1068,2,654,1068,1139
1069,89,652,1069,1435
1070,97,519,1070,1147
1071,10,82,1071,1650
1072,21,510,1072,1884
1073,63,105,1073,1287
1074,85,665,1074,1459
1075,37,819,1075,1107
1076,71,722,1076,1947
1077,87,69,1077,1031
1078,6,396,1078,1698
1079,71,772,1079,1949
1080,70,34,1080,1262
1081,90,275,1081,1838
1082,65,348,1082,1959
1083,36,476,1083,1184
1084,22,608,1084,1531
1085,99,803,1085,1446
1086,93,662,1086,1163
1087,48,435,1087,1939
1088,50,293,1088,1249
1089,70,92,1089,1834
1090,26,134,1090,1412
1091,84,747,1091,1054
1092,46,915,1092,1270
1093,49,657,1093,1223
1094,56,542,1094,1224
1095,45,55,1095,1732
1096,4,627,1096,1923
1097,92,316,1097,1330
1098,9,154,1098,1455
1099,91,712,1099,1465
1100,8,413,1100,1355
1101,86,620,1101,1513
1102,18,975,1102,1745
1103,36,765,1103,1209
1104,8,858,1104,1174
1105,3,422,1105,1239
1106,78,84,1106,1297
1107,30,287,1107,1472
1108,84,501,1108,1232
1109,64,816,1109,1217
1110,49,588,1110,1666
1111,59,776,1111,1754
1112,54,480,1112,1618
1113,95,163,1113,1966
1114,41,484,1114,1972
1115,35,235,1115,1490
1116,49,314,1116,1250
1117,54,568,1117,1619
1118,21,649,1118,1840
1119,49,280,1119,1424
1120,26,337,1120,1565
1121,32,810,1121,1608
1122,22,971,1122,1587
1123,94,139,1123,1062
1124,33,386,1124,1011
1125,59,87,1125,1632
1126,5,563,1126,1735
1127,60,119,1127,1769
1128,10,798,1128,1253
1129,76,769,1129,1607
1130,59,764,1130,1926
1131,4,378,1131,1445
1132,45,411,1132,1822
1133,3,943,1133,1068
1134,47,412,1134,1868
1135,76,257,1135,1582
1136,46,123,1136,1820
1137,53,606,1137,1606
1138,28,59,1138,1716
1139,36,351,1139,1303
1140,41,24,1140,1798
1141,88,919,1141,1893
1142,28,233,1142,1588
1143,4,192,1143,1801
1144,69,951,1144,1421
1145,11,356,1145,1409
1146,34,109,1146,1515
1147,5,268,1147,1912
1148,32,357,1148,1733
1149,22,882,1149,1076
1150,22,203,1150,1875
1151,34,438,1151,1486
1152,50,214,1152,1366
1153,34,537,1153,1353
1154,5,553,1154,1833
1155,64,648,1155,1431
1156,36,817,1156,1292
1157,59,308,1157,1374
1158,5,327,1158,1616
1159,37,604,1159,1843
1160,52,49,1160,1234
1161,88,979,1161,1602
1162,98,685,1162,1548
1163,21,773,1163,1563
1164,63,982,1164,1719
1165,95,845,1165,1464
1166,90,886,1166,1714
1167,2,692,1167,1625
1168,96,806,1168,1728
1169,98,777,1169,1984
1170,89,512,1170,1213
1171,28,840,1171,1221
1172,27,458,1172,1703
1173,45,760,1173,1339
1174,39,957,1174,1197
1175,60,111,1175,1095
1176,74,547,1176,1188
1177,37,917,1177,1301
1178,77,126,1178,1048
1179,67,836,1179,1093
1180,68,333,1180,1341
1181,28,946,1181,1988
1182,61,808,1182,1784
1183,59,18,1183,1627
1184,15,273,1184,1280
1185,90,140,1185,1527
1186,17,260,1186,1359
1187,82,851,1187,1106
1188,85,731,1188,1782
1189,1,644,1189,1245
1190,61,795,1190,1308
1191,84,633,1191,1519
1192,9,922,1192,1312
1193,41,535,1193,1161
1194,1,827,1194,1603
1195,27,976,1195,1340
1196,17,752,1196,1925
1197,2,66,1197,1251
1198,48,726,1198,1179
1199,36,190,1199,1447
1200,58,544,1200,1413
1201,87,278,1201,1111
1202,12,737,1202,1484
1203,89,856,1203,1126
1204,60,114,1204,1860
1205,53,981,1205,1699
1206,36,966,1206,1795
1207,89,502,1207,1885
1208,42,68,1208,1497
1209,12,678,1209,1536
1210,96,904,1210,1932
1211,87,236,1211,1316
1212,29,862,1212,1682
1213,37,249,1213,1208
1214,7,414,1214,1233
1215,84,601,1215,1410
1216,7,253,1216,1202
1217,62,849,1217,1230
1218,83,876,1218,1089
1219,89,44,1219,1135
1220,40,29,1220,1976
1221,7,603,1221,1891
1222,71,933,1222,1870
1223,76,647,1223,1212
1224,13,428,1224,1479
1225,79,557,1225,1765
1226,85,158,1226,1305
1227,21,33,1227,1775
1228,2,525,1228,1946
1229,17,358,1229,1125
1230,19,494,1230,1110
1231,45,638,1231,1373
1232,70,416,1232,1960
1233,8,611,1233,1786
1234,11,684,1234,1898
1235,14,211,1235,1091
1236,54,809,1236,1427
1237,3,263,1237,1794
1238,15,417,1238,1327
1239,26,597,1239,1480
1240,13,274,1240,1130
1241,5,634,1241,1862
1242,72,864,1242,1084
1243,27,409,1243,1383
1244,85,122,1244,1841
1245,38,912,1245,1196
1246,51,700,1246,1873
1247,61,290,1247,1647
1248,54,630,1248,1688
1249,68,244,1249,1569
1250,15,758,1250,1778
1251,46,626,1251,1781
1252,45,15,1252,1334
1253,97,355,1253,1384
1254,80,931,1254,1444
1255,86,939,1255,1351
1256,95,895,1256,1659
1257,11,790,1257,1368
1258,11,587,1258,1300
1259,28,110,1259,1035
1260,39,131,1260,1461
1261,55,857,1261,1434
1262,20,997,1262,1218
1263,81,522,1263,1121
1264,100,835,1264,1216
1265,60,379,1265,1772
1266,23,466,1266,1046
1267,32,399,1267,1505
1268,97,380,1268,1858
1269,32,770,1269,1550
1270,95,893,1270,1723
1271,49,987,1271,1826
1272,14,505,1272,1702
1273,51,433,1273,1740
1274,79,470,1274,1272
1275,80,645,1275,1302
1276,67,242,1276,1883
1277,52,901,1277,1749
1278,95,994,1278,1143
1279,59,596,1279,1661
1280,63,918,1280,1226
1281,45,319,1281,1692
1282,2,493,1282,1814
1283,17,643,1283,1900
1284,7,473,1284,1687
1285,43,168,1285,1982
1286,58,754,1286,1869
1287,46,6,1287,1281
1288,89,986,1288,1748
1289,37,390,1289,1964
1290,23,331,1290,1029
1291,21,947,1291,1235
1292,37,227,1292,1628
1293,81,7,1293,1919
1294,96,479,1294,1691
1295,17,870,1295,1950
1296,89,970,1296,1396
1297,17,689,1297,1382
1298,20,205,1298,1331
1299,30,768,1299,1986
1300,37,736,1300,1219
1301,30,949,1301,1721
1302,55,200,1302,1102
1303,47,375,1303,1701
1304,79,838,1304,1380
1305,90,88,1305,1958
1306,39,306,1306,1195
1307,36,616,1307,1709
1308,58,483,1308,1045
1309,94,388,1309,1731
1310,23,427,1310,1164
1311,74,900,1311,1088
1312,83,576,1312,1562
1313,48,877,1313,1354
1314,100,277,1314,1318
1315,58,774,1315,1476
1316,99,141,1316,1580
1317,91,709,1317,1042
1318,55,740,1318,1542
1319,13,305,1319,1058
1320,26,457,1320,1708
1321,6,437,1321,1017
1322,96,54,1322,1530
1323,45,418,1323,1613
1324,63,40,1324,1609
1325,80,301,1325,1405
1326,21,343,1326,1100
1327,61,53,1327,1453
1328,18,543,1328,1335
1329,64,221,1329,1124
1330,4,932,1330,1626
1331,52,527,1331,1835
1332,3,719,1332,1642
1333,27,824,1333,1671
1334,32,394,1334,1290
1335,78,842,1335,1012
1336,12,579,1336,1151
1337,38,451,1337,1577
1338,48,852,1338,1007
1339,75,329,1339,1961
1340,24,605,1340,1998
1341,12,498,1341,1643
1342,50,797,1342,1406
1343,71,977,1343,1385
1344,22,945,1344,1395
1345,75,659,1345,1181
1346,49,382,1346,1028
1347,5,980,1347,1624
1348,59,79,1348,1471
1349,11,231,1349,1508
1350,61,309,1350,1845
1351,37,514,1351,1307
1352,92,492,1352,1830
1353,33,759,1353,1729
1354,38,913,1354,1056
1355,67,735,1355,1955
1356,10,415,1356,1999
1357,45,215,1357,1889
1358,11,640,1358,1081
1359,35,52,1359,1752
1360,32,695,1360,1039
1361,28,429,1361,1502
1362,11,924,1362,1970
1363,62,704,1363,1466
1364,70,321,1364,1839
1365,33,17,1365,1694
1366,18,147,1366,1425
1367,2,426,1367,1499
1368,91,883,1368,1429
1369,92,887,1369,1865
1370,23,789,1370,1325
1371,98,715,1371,1043
1372,26,65,1372,1996
1373,49,210,1373,1014
1374,66,556,1374,1783
1375,98,578,1375,1322
1376,20,744,1376,1633
