id,fecha,cantidad,tipo
1001,8/16/2023,84,D
1002,7/25/2023,16,P
1003,4/9/2024,71,D
1004,5/10/2023,22,P
1005,12/6/2023,57,P
1006,5/12/2023,50,D
1007,4/9/2024,34,P
1008,3/7/2024,32,D
1009,11/21/2023,25,P
1010,12/30/2023,11,D
1011,7/25/2023,5,D
1012,8/10/2023,47,D
1013,1/20/2024,31,P
1014,3/26/2024,58,D
1015,11/15/2023,45,P
1016,2/11/2024,35,P
1017,1/6/2024,15,P
1018,10/25/2023,88,D
1019,3/17/2024,26,P
1020,10/15/2023,89,D
1021,1/11/2024,31,D
1022,10/8/2023,36,P
1023,10/27/2023,16,P
1024,8/5/2023,87,D
1025,4/28/2023,5,D
1026,6/30/2023,1,P
1027,9/7/2023,41,P
1028,9/2/2023,89,D
1029,1/20/2024,98,D
1030,1/16/2024,10,P
1031,11/5/2023,52,P
1032,11/25/2023,41,P
1033,1/30/2024,16,D
1034,2/13/2024,29,P
1035,2/25/2024,97,P
1036,9/29/2023,57,D
1037,2/20/2024,74,P
1038,1/22/2024,14,D
1039,9/25/2023,81,P
1040,2/21/2024,38,D
1041,12/22/2023,55,D
1042,11/26/2023,77,P
1043,6/24/2023,8,D
1044,5/13/2023,28,D
1045,3/24/2024,16,P
1046,2/25/2024,23,P
1047,10/22/2023,15,P
1048,7/10/2023,30,D
1049,10/27/2023,9,P
1050,2/2/2024,43,D
1051,9/28/2023,95,D
1052,3/14/2024,73,D
1053,6/21/2023,44,D
1054,4/21/2023,32,P
1055,10/26/2023,36,D
1056,11/11/2023,81,D
1057,7/1/2023,0,P
1058,5/24/2023,64,P
1059,8/14/2023,28,P
1060,8/3/2023,43,P
1061,11/14/2023,29,P
1062,10/3/2023,80,D
1063,11/11/2023,17,D
1064,6/1/2023,18,D
1065,5/30/2023,73,P
1066,11/23/2023,97,P
1067,9/4/2023,88,P
1068,5/10/2023,6,P
1069,11/2/2023,16,P
1070,4/13/2023,78,P
1071,8/1/2023,75,P
1072,8/12/2023,30,D
1073,4/27/2023,17,D
1074,8/28/2023,73,D
1075,5/27/2023,75,P
1076,11/27/2023,56,P
1077,7/25/2023,86,P
1078,3/6/2024,13,D
1079,1/12/2024,50,P
1080,3/3/2024,19,P
1081,1/20/2024,4,D
1082,8/22/2023,32,P
1083,1/25/2024,77,P
1084,1/4/2024,29,D
1085,2/22/2024,76,P
1086,4/11/2024,88,P
1087,10/14/2023,50,P
1088,2/23/2024,66,D
1089,10/19/2023,50,D
1090,11/24/2023,85,D
1091,7/11/2023,25,D
1092,9/29/2023,15,P
1093,1/21/2024,29,P
1094,1/27/2024,80,P
1095,7/14/2023,72,D
1096,9/10/2023,87,D
1097,9/17/2023,73,P
1098,3/25/2024,75,P
1099,12/12/2023,89,P
1100,6/4/2023,23,P
1101,11/12/2023,62,P
1102,12/1/2023,65,D
1103,8/3/2023,66,D
1104,5/13/2023,7,D
1105,7/26/2023,62,D
1106,12/19/2023,99,P
1107,2/28/2024,48,P
1108,9/3/2023,27,D
1109,12/22/2023,60,P
1110,9/20/2023,0,D
1111,7/10/2023,85,P
1112,5/14/2023,58,D
1113,4/30/2023,20,P
1114,11/22/2023,81,D
1115,11/18/2023,96,P
1116,11/14/2023,50,D
1117,10/18/2023,95,D
1118,11/24/2023,24,D
1119,3/14/2024,55,P
1120,9/13/2023,37,P
1121,12/29/2023,65,P
1122,1/19/2024,6,D
1123,7/2/2023,61,D
1124,11/27/2023,14,D
1125,5/18/2023,36,D
1126,12/21/2023,77,D
1127,8/2/2023,74,P
1128,1/23/2024,69,D
1129,1/24/2024,30,P
1130,3/15/2024,98,D
1131,4/27/2023,69,D
1132,8/16/2023,82,P
1133,6/29/2023,50,P
1134,8/15/2023,32,D
1135,11/3/2023,86,D
1136,7/31/2023,15,P
1137,4/25/2023,50,P
1138,9/5/2023,57,D
1139,4/18/2023,86,P
1140,3/13/2024,7,D
1141,6/25/2023,26,P
1142,8/2/2023,44,P
1143,2/9/2024,70,P
1144,9/15/2023,61,D
1145,2/11/2024,100,D
1146,10/25/2023,40,P
1147,8/13/2023,93,D
1148,10/6/2023,99,D
1149,6/19/2023,69,P
1150,9/18/2023,5,P
1151,10/27/2023,41,D
1152,5/6/2023,93,D
1153,10/24/2023,35,D
1154,9/29/2023,49,D
1155,8/4/2023,66,P
1156,9/28/2023,12,D
1157,9/14/2023,42,P
1158,4/8/2024,83,D
1159,5/9/2023,39,P
1160,6/30/2023,30,P
1161,8/4/2023,62,D
1162,9/18/2023,71,D
1163,7/28/2023,89,D
1164,1/31/2024,88,D
1165,8/12/2023,11,P
1166,7/13/2023,41,D
1167,10/24/2023,18,D
1168,1/31/2024,39,P
1169,12/29/2023,13,P
1170,7/29/2023,16,D
1171,5/8/2023,18,D
1172,8/26/2023,0,P
1173,7/29/2023,75,P
1174,8/17/2023,84,P
1175,8/20/2023,33,P
1176,11/30/2023,7,P
1177,1/15/2024,10,P
1178,7/23/2023,96,D
1179,8/15/2023,79,P
1180,5/15/2023,28,P
1181,10/15/2023,83,D
1182,12/31/2023,27,D
1183,11/16/2023,60,D
1184,5/4/2023,94,D
1185,11/29/2023,22,D
1186,4/23/2023,53,D
1187,1/3/2024,70,D
1188,4/3/2024,8,D
1189,2/26/2024,26,D
1190,9/27/2023,22,P
1191,2/3/2024,95,D
1192,4/26/2023,87,D
1193,11/20/2023,92,D
1194,8/22/2023,38,P
1195,2/10/2024,54,D
1196,3/16/2024,0,P
1197,8/1/2023,40,P
1198,6/29/2023,91,D
1199,3/24/2024,9,D
1200,8/6/2023,31,P
1201,5/3/2023,31,D
1202,11/17/2023,36,D
1203,4/9/2024,51,P
1204,9/10/2023,87,D
1205,2/10/2024,67,P
1206,6/16/2023,48,D
1207,3/27/2024,59,D
1208,10/8/2023,46,D
1209,5/8/2023,42,D
1210,3/16/2024,97,P
1211,10/28/2023,55,P
1212,5/29/2023,43,P
1213,9/15/2023,33,D
1214,11/25/2023,76,P
1215,2/20/2024,56,P
1216,2/17/2024,99,D
1217,9/20/2023,25,D
1218,6/6/2023,58,P
1219,3/6/2024,77,D
1220,1/12/2024,16,P
1221,7/19/2023,26,P
1222,9/23/2023,58,P
1223,8/8/2023,41,D
1224,1/15/2024,30,D
1225,11/28/2023,33,P
1226,6/28/2023,30,P
1227,3/19/2024,64,P
1228,6/18/2023,49,P
1229,12/7/2023,62,D
1230,4/18/2023,11,P
1231,9/19/2023,68,D
1232,7/30/2023,33,P
1233,12/3/2023,55,P
1234,4/23/2023,27,D
1235,7/17/2023,64,D
1236,8/12/2023,88,D
1237,12/9/2023,16,P
1238,9/13/2023,34,P
1239,6/19/2023,58,D
1240,4/28/2023,26,D
1241,8/18/2023,32,P
1242,9/21/2023,55,D
1243,10/7/2023,74,P
1244,3/3/2024,6,P
1245,10/13/2023,50,P
1246,2/1/2024,31,D
1247,2/17/2024,53,D
1248,6/27/2023,83,P
1249,10/22/2023,81,P
1250,2/14/2024,70,P
1251,4/12/2023,26,P
1252,6/16/2023,92,P
1253,11/16/2023,5,D
1254,2/14/2024,5,P
1255,8/10/2023,17,D
1256,3/4/2024,86,P
1257,9/8/2023,9,D
1258,4/10/2024,6,D
1259,1/15/2024,31,P
1260,1/8/2024,98,P
1261,10/15/2023,36,P
1262,9/13/2023,59,D
1263,10/16/2023,82,D
1264,1/25/2024,19,P
1265,10/5/2023,60,P
1266,5/3/2023,7,P
1267,5/10/2023,93,D
1268,11/12/2023,45,P
1269,5/30/2023,43,D
1270,5/28/2023,84,P
1271,7/19/2023,64,P
1272,11/30/2023,24,P
1273,6/9/2023,59,D
1274,10/27/2023,95,D
1275,10/10/2023,26,D
1276,6/29/2023,35,D
1277,9/8/2023,94,D
1278,10/8/2023,30,D
1279,2/6/2024,36,P
1280,3/7/2024,18,D
1281,8/2/2023,72,D
1282,12/28/2023,57,P
1283,7/28/2023,4,D
1284,12/31/2023,47,D
1285,12/31/2023,46,P
1286,8/1/2023,5,P
1287,9/11/2023,31,D
1288,7/10/2023,42,P
1289,5/13/2023,20,P
1290,12/20/2023,69,P
1291,10/18/2023,66,D
1292,8/28/2023,78,D
1293,10/13/2023,89,D
1294,1/18/2024,5,P
1295,10/12/2023,37,P
1296,8/19/2023,11,D
1297,9/9/2023,88,P
1298,10/7/2023,24,D
1299,7/9/2023,1,P
1300,1/25/2024,38,P
1301,8/20/2023,11,P
1302,6/2/2023,89,D
1303,2/12/2024,14,P
1304,12/17/2023,7,P
1305,5/14/2023,19,D
1306,7/22/2023,24,D
1307,5/11/2023,61,P
1308,12/7/2023,6,D
1309,6/6/2023,86,D
1310,9/19/2023,89,D
1311,1/23/2024,62,D
1312,2/10/2024,91,P
1313,6/10/2023,53,D
1314,7/15/2023,58,P
1315,5/31/2023,14,D
1316,6/20/2023,15,D
1317,6/7/2023,69,P
1318,5/30/2023,96,P
1319,11/22/2023,59,D
1320,8/23/2023,23,P
1321,11/27/2023,85,D
1322,9/24/2023,74,P
1323,12/14/2023,70,D
1324,5/2/2023,36,P
1325,11/8/2023,69,P
1326,3/7/2024,40,D
1327,12/24/2023,86,P
1328,6/28/2023,90,P
1329,7/6/2023,86,P
1330,4/10/2024,45,P
1331,10/24/2023,9,P
1332,3/17/2024,25,P
1333,7/20/2023,62,P
1334,8/2/2023,88,D
1335,4/18/2023,3,D
1336,10/18/2023,19,P
1337,7/18/2023,42,D
1338,10/2/2023,14,P
1339,1/20/2024,97,P
1340,5/14/2023,40,P
1341,5/6/2023,84,D
1342,9/6/2023,21,P
1343,3/9/2024,14,D
1344,7/7/2023,56,P
1345,6/9/2023,28,P
1346,1/6/2024,38,D
1347,2/13/2024,58,D
1348,12/2/2023,90,P
1349,9/10/2023,14,P
1350,2/18/2024,83,D
1351,12/24/2023,57,P
1352,3/30/2024,55,P
1353,5/3/2023,79,D
1354,8/21/2023,73,P
1355,12/2/2023,66,D
1356,6/22/2023,96,D
1357,2/23/2024,23,P
1358,3/23/2024,59,D
1359,12/30/2023,13,P
1360,3/1/2024,84,P
1361,1/24/2024,75,D
1362,9/23/2023,86,P
1363,2/1/2024,54,P
