nit,nombre,tipoNegocio,cantidadDesAli,cantidadAliVen,cantidadAliDon,idDonacion
1001,eZ7XYC5R,COE,68,60,16,1001
1002,V0gAf64O,COE,23,39,39,1002
1003,FROGmEXb,PYM,66,50,50,1003
1004,G27182PS,COE,10,22,3,1004
1005,uH5HVPLu,COE,9,93,49,1005
1006,Q6qgtbLn,COE,75,78,99,1006
1007,Ag50IZA9,PYM,71,53,39,1007
1008,9gZ3t8Sx,COE,46,99,61,1008
1009,BM8PC4B3,COE,0,19,8,1009
1010,vx8yqyjX,COE,22,55,17,1010
1011,a9V3hFbG,PYM,70,24,2,1011
1012,0Q4JGa7x,PYM,6,44,2,1012
1013,K1auk4B8,COE,39,34,17,1013
1014,eRA1PCA1,PYM,20,75,79,1014
1015,80ihs7f8,COE,86,45,32,1015
1016,Ro8JI8HI,PYM,62,48,51,1016
1017,FsK84Qst,COE,98,22,16,1017
1018,76QtE8hc,COE,96,31,45,1018
1019,b65yyej0,PYM,37,80,82,1019
1020,762xjPbP,COE,38,70,97,1020
1021,QnlwLynf,PYM,14,0,13,1021
1022,6g24yHsz,COE,0,7,48,1022
1023,ldGJe4BF,COE,7,50,18,1023
1024,qE96nrJF,PYM,8,23,34,1024
1025,t9ru8FPL,COE,39,28,16,1025
1026,OSzjM2NS,PYM,55,86,33,1026
1027,XqT0YANK,PYM,18,18,17,1027
1028,UYX5hpLm,PYM,89,70,93,1028
1029,M2Uvjf0i,COE,32,35,12,1029
1030,oQ5Cnwk6,PYM,88,60,84,1030
1031,hO0IHUUF,COE,77,42,4,1031
1032,pKApp981,PYM,81,44,46,1032
1033,H944hssb,COE,92,59,77,1033
1034,Y75hQ6L5,COE,99,24,76,1034
1035,0N5NX4sh,PYM,59,81,57,1035
1036,m9cc8v55,PYM,62,66,38,1036
1037,gITp48gW,COE,6,6,22,1037
1038,4MbD46G7,PYM,23,97,66,1038
1039,VQABfp70,PYM,98,76,57,1039
1040,b0oJBz1j,PYM,87,96,55,1040
1041,325U07ci,PYM,91,47,40,1041
1042,Xqe0Y936,PYM,83,25,34,1042
1043,vYVU0xL8,COE,45,95,28,1043
1044,7A7uNKj1,PYM,96,67,42,1044
1045,0C5IJx35,COE,16,48,57,1045
1046,QB4UcM5M,PYM,18,27,10,1046
1047,irXaC323,PYM,88,48,7,1047
1048,U8IvgnzJ,PYM,20,27,21,1048
1049,jtqJWaQs,COE,37,48,62,1049
1050,5g2wEBUv,COE,75,29,34,1050
1051,8x6b05E6,COE,69,36,24,1051
1052,DQ57616q,PYM,35,17,18,1052
1053,r7atWUVQ,PYM,90,95,28,1053
