id,idConsumidor,fecha,total,idBono
1001,1987,4/10/2024,76,1001
1002,1564,8/22/2023,64,1002
1003,1471,3/8/2024,43,1003
1004,1163,3/16/2024,69,1004
1005,1635,9/5/2023,25,1005
1006,1576,1/10/2024,29,1006
1007,1668,6/21/2023,14,1007
1008,1509,4/15/2023,24,1008
1009,1074,2/3/2024,82,1009
1010,1626,5/24/2023,35,1010
1011,1544,11/10/2023,40,1011
1012,1738,1/9/2024,12,1012
1013,1859,1/20/2024,43,1013
1014,1818,2/28/2024,86,1014
1015,1463,12/12/2023,71,1015
1016,1190,12/8/2023,80,1016
1017,1428,7/2/2023,24,1017
1018,1839,7/3/2023,55,1018
1019,1543,7/7/2023,96,1019
1020,1665,10/3/2023,70,1020
1021,1572,4/12/2024,40,1021
1022,1263,4/7/2024,60,1022
1023,1430,8/15/2023,28,1023
1024,1498,2/17/2024,87,1024
1025,1271,12/9/2023,43,1025
1026,1308,6/19/2023,10,1026
1027,1421,3/24/2024,17,1027
1028,1207,8/8/2023,20,1028
1029,1775,1/16/2024,93,1029
1030,1786,11/6/2023,61,1030
1031,1955,5/6/2023,82,1031
1032,1936,12/26/2023,68,1032
1033,1320,12/23/2023,42,1033
1034,1480,4/27/2023,18,1034
1035,1967,4/29/2023,68,1035
1036,1733,12/14/2023,30,1036
1037,1998,11/4/2023,52,1037
1038,1546,12/16/2023,58,1038
1039,1506,9/8/2023,61,1039
1040,1083,11/18/2023,30,1040
1041,1861,9/8/2023,61,1041
1042,1545,1/3/2024,39,1042
1043,1530,8/9/2023,96,1043
1044,1758,9/9/2023,62,1044
1045,1166,10/16/2023,94,1045
1046,1465,10/26/2023,84,1046
1047,1954,2/24/2024,100,1047
1048,1134,6/17/2023,4,1048
1049,1249,1/11/2024,21,1049
1050,1701,4/16/2023,91,1050
1051,1469,2/16/2024,48,1051
1052,1488,9/13/2023,62,1052
1053,1553,1/19/2024,33,1053
1054,1136,9/27/2023,55,1054
1055,1464,6/5/2023,18,1055
1056,1844,7/20/2023,13,1056
1057,1004,1/31/2024,97,1057
1058,1984,9/15/2023,4,1058
1059,1951,11/19/2023,90,1059
1060,1627,3/16/2024,69,1060
1061,1558,5/12/2023,94,1061
1062,1084,1/28/2024,49,1062
1063,1705,2/11/2024,64,1063
1064,1436,7/18/2023,45,1064
1065,1515,2/27/2024,2,1065
1066,1511,1/23/2024,42,1066
1067,1956,6/14/2023,25,1067
1068,1520,8/16/2023,87,1068
1069,1120,5/7/2023,60,1069
1070,1101,12/20/2023,1,1070
1071,1579,11/28/2023,26,1071
1072,1031,6/3/2023,84,1072
