id,idCarritoCompras,producto
1001,1258,Crab - Meat Combo
1002,1928,"Wine - Red, Black Opal Shiraz"
1003,1658,"Flour - Buckwheat, Dark"
1004,1381,Sauce - Roasted Red Pepper
1005,1584,Juice - Lemon
1006,1165,Appetizer - Smoked Salmon / Dill
1007,1583,Pastry - Cherry Danish - Mini
1008,1055,"Tart Shells - Sweet, 2"
1009,1385,Petite Baguette
1010,1867,"Fish - Soup Base, Bouillon"
1011,1597,Irish Cream - Butterscotch
1012,1945,Garlic
1013,1034,Compound - Mocha
1014,1247,"Wine - Red, Concha Y Toro"
1015,1228,"Oil - Shortening,liqud, Fry"
1016,1536,Plastic Arrow Stir Stick
1017,1680,Dish Towel
1018,1621,Banana
1019,1166,Squeeze Bottle
1020,1716,Bread - 10 Grain Parisian
1021,1441,Edible Flower - Mixed
1022,1328,Cheese - Mascarpone
1023,1474,Mudslide
1024,1810,Coffee Beans - Chocolate
1025,1342,Filo Dough
1026,1189,Turnip - Wax
1027,1592,Cafe Royale
1028,1484,Food Colouring - Green
1029,1802,Halibut - Steaks
1030,1455,Huck White Towels
1031,1116,"Lamb - Whole Head Off,nz"
1032,1243,Cookie Chocolate Chip With
1033,1858,"Bread - Sticks, Thin, Plain"
1034,1405,"Halibut - Whole, Fresh"
1035,1170,"Flour - Corn, Fine"
1036,1091,Crab - Imitation Flakes
1037,1760,Flounder - Fresh
1038,1179,Lidsoupcont Rp12dn
1039,1712,"Tart Shells - Savory, 3"
1040,1826,Campari
1041,1726,Towel - Roll White
1042,1146,Melon - Honey Dew
1043,1955,Rabbit - Legs
1044,1823,Bread - Corn Muffaletta
1045,1127,Wine - Spumante Bambino White
1046,1882,"Juice - Orange, 341 Ml"
1047,1160,Beer - Blue Light
1048,1049,Kale - Red
1049,1007,"Wine - Red, Gamay Noir"
1050,1155,Sea Bass - Whole
1051,1737,Stock - Fish
1052,1751,Kohlrabi
1053,1918,Chives - Fresh
1054,1513,Fennel
1055,1267,Juice - Mango
1056,1518,Onions Granulated
1057,1821,Pork - Backfat
1058,1300,Pear - Halves
1059,1989,"Stock - Beef, White"
1060,1354,Potatoes - Idaho 80 Count
1061,1782,"Bread - Rolls, Corn"
1062,1310,Spinach - Frozen
1063,1245,Apron
1064,1303,Asparagus - Frozen
1065,1655,Horseradish - Prepared
1066,1939,Pur Source
1067,1958,Wiberg Super Cure
1068,1770,Chicken - Wieners
1069,1516,Steam Pan - Half Size Deep
1070,1376,Beer - Steamwhistle
1071,1185,Bread - Olive Dinner Roll
1072,1457,Salt - Seasoned
1073,1665,Milk - 2%
1074,1058,Cheese - Grana Padano
1075,1873,Bandage - Finger Cots
1076,1976,Lidsoupcont Rp12dn
1077,1808,Compound - Raspberry
1078,1730,"Tart Shells - Sweet, 4"
1079,1479,Cheese - Brick With Onion
1080,1745,Vinegar - Rice
1081,1202,Beef - Inside Round
1082,1229,Veal - Loin
1083,1965,Truffle Cups - Red
1084,1898,Pie Shell - 5
1085,1538,"Red Snapper - Fillet, Skin On"
1086,1083,Food Colouring - Pink
1087,1837,"Bread - Bagels, Plain"
1088,1466,Table Cloth 72x144 White
1089,1509,"Chicken - Leg, Fresh"
1090,1828,Sugar - Cubes
1091,1875,Cake - French Pear Tart
1092,1544,Cake - Box Window 10x10x2.5
1093,1910,Jam - Apricot
1094,1496,Lamb Shoulder Boneless Nz
1095,1019,Oregano - Fresh
1096,1255,Cucumber - English
1097,1695,Halibut - Steaks
1098,1892,Eggplant - Regular
1099,1505,Croissants Thaw And Serve
1100,1213,Ice Cream - Turtles Stick Bar
1101,1316,Higashimaru Usukuchi Soy
1102,1107,Lambcasing
1103,1298,Appetizer - Escargot Puff
1104,1168,Longos - Chicken Cordon Bleu
1105,1259,Soup - Base Broth Beef
1106,1869,Liquid Aminios Acid - Braggs
1107,1359,Vinegar - White
1108,1727,Mousse - Banana Chocolate
1109,1206,Carbonated Water - Peach
1110,1156,Sprouts - Baby Pea Tendrils
1111,1843,Olives - Stuffed
1112,1196,"Lamb - Pieces, Diced"
1113,1148,Salt - Celery
1114,1285,"Beef - Tenderlion, Center Cut"
1115,1534,Bread Crumbs - Japanese Style
1116,1934,Peach - Fresh
1117,1089,"Appetizer - Spring Roll, Veg"
1118,1108,Wine - Ice Wine
1119,1956,Table Cloth 62x120 Colour
1120,1682,"Mushroom - Trumpet, Dry"
1121,1753,Flour Pastry Super Fine
1122,1288,Eggplant - Baby
1123,1435,Cheese - Fontina
1124,1045,Beef Cheek Fresh
1125,1783,Bread Country Roll
1126,1219,"Juice - Apple, 341 Ml"
1127,1731,Juice - Orange 1.89l
1128,1478,"Flour - Bran, Red"
1129,1691,Mudslide
1130,1252,"Pepper - Green, Chili"
1131,1762,Cheese - Le Cheve Noir
