id,nitEmpresa ,tipo ,precio,nombre,idPlato
1001,1483,A,100,HGH-57-WY,1764
1002,1529,A,62,EGK-88-TR,1895
1003,1557,P,61,GKK-03-CS,1133
1004,1419,P,90,QZJ-79-TT,1619
1005,1454,A,47,ROV-78-HR,1823
1006,1743,A,38,VCA-63-BL,1982
1007,1051,E,20,FVX-77-CV,1035
1008,1047,A,55,XNR-10-YF,1350
1009,1144,E,30,JAF-59-GG,1980
1010,1850,A,18,UIF-67-CC,1566
1011,1203,A,93,WQQ-27-FK,1821
1012,1070,A,1,ENC-29-LF,1161
1013,1962,E,49,AMR-87-ST,1108
1014,1911,P,74,YTI-69-YK,1024
1015,1597,P,46,GYO-71-IZ,1060
1016,1349,P,74,LMR-40-NZ,1107
1017,1593,E,10,LCR-62-RW,1868
1018,1591,E,99,JTV-61-YI,1558
1019,1761,A,46,HOO-08-LA,1462
1020,1917,P,26,SSZ-76-UB,1682
1021,1922,A,27,OHC-25-QF,1311
1022,1440,A,57,XXL-76-QM,1206
1023,1669,A,94,WDI-58-AO,1051
1024,1707,A,28,OOL-49-EY,1173
1025,1935,E,25,VGM-91-ZX,1920
1026,1283,E,97,SKY-81-SS,1386
1027,1229,E,30,WTD-54-MH,1632
1028,1439,E,32,WMA-82-KM,1438
1029,1136,A,69,KFG-97-DQ,1271
1030,1269,E,4,HIM-80-XI,1669
1031,1003,E,60,ZSM-69-LZ,1730
1032,1198,P,87,KPS-24-DY,1002
1033,1595,P,96,AHZ-17-FV,1553
1034,1655,E,50,GUS-61-PW,1590
1035,1294,E,61,YIN-03-IC,1563
1036,1523,E,5,RUP-30-FR,1951
1037,1295,P,92,GGZ-89-NJ,1683
1038,1094,P,68,NAQ-27-BG,1677
1039,1978,A,45,SFO-32-UW,1618
1040,1544,P,37,RSD-51-BJ,1579
1041,1611,P,73,DLC-87-DI,1093
1042,1358,E,97,PDE-45-SW,1546
1043,1387,A,50,DCP-97-ET,1611
1044,1291,A,35,QNR-23-WF,1314
1045,1023,P,46,LTT-35-TO,1332
1046,1258,P,100,UBL-45-AD,1211
1047,1138,P,98,EST-17-RY,1460
1048,1660,E,68,XES-23-YN,1615
1049,1152,E,34,LLP-60-HS,1170
1050,1614,E,58,SVY-93-TB,1037
1051,1928,E,63,THF-21-OR,1407
1052,1676,A,51,SCH-81-ZG,1029
1053,1296,E,55,MCH-96-ID,1889
1054,1323,E,44,YJR-21-FP,1423
1055,1375,P,46,HHD-46-JU,1119
1056,1572,P,76,PGT-66-UF,1225
1057,1806,E,68,GWK-18-VC,1784
1058,1401,P,43,BJR-88-UO,1387
1059,1087,A,81,ABJ-38-RV,1418
1060,1558,A,54,QVT-01-XS,1754
1061,1006,E,37,CXF-34-QP,1031
1062,1640,E,41,LTY-43-LW,1131
1063,1344,E,40,RQO-85-VT,1391
1064,1809,P,17,XQH-04-AS,1959
1065,1816,E,98,WEI-29-HN,1551
1066,1610,E,18,MWL-29-XS,1014
1067,1892,P,4,DYD-01-MZ,1281
1068,1139,P,92,QVC-67-FW,1478
1069,1435,E,37,ZKG-79-ZC,1760
1070,1147,E,22,ZFJ-05-II,1044
1071,1650,A,51,QBI-96-JV,1367
1072,1884,E,52,YCW-80-EU,1353
1073,1287,A,76,PAS-58-QN,1864
1074,1459,E,95,ZTX-55-YY,1515
1075,1107,A,25,ZBK-42-UI,1015
1076,1947,E,39,WJJ-67-BZ,1557
1077,1031,A,9,IZB-59-UQ,1866
1078,1698,A,85,CYS-39-NS,1519
1079,1949,A,33,XMD-62-IJ,1192
1080,1262,P,15,UJW-72-TP,1246
1081,1838,A,11,LRU-31-CV,1499
1082,1959,A,22,LNO-94-OS,1543
1083,1184,E,50,TBO-48-DR,1299
1084,1531,E,2,CDS-19-EU,1885
1085,1446,P,25,MSW-09-RW,1886
1086,1163,A,69,DQK-26-JD,1794
1087,1939,P,14,RPJ-64-KJ,1917
1088,1249,E,43,IRK-83-FH,1695
1089,1834,A,55,ZKL-06-AD,1819
1090,1412,A,73,WZV-18-MZ,1366
1091,1054,E,100,FKA-57-MV,1979
1092,1270,P,70,OKR-53-OF,1089
1093,1223,E,84,RZQ-99-OU,1197
1094,1224,E,41,KXJ-74-LB,1940
1095,1732,E,16,TNX-95-LK,1573
1096,1923,A,2,KSQ-55-NY,1858
1097,1330,P,90,UNV-15-NQ,1040
1098,1455,A,48,BKG-44-MQ,1520
1099,1465,E,100,SAZ-42-XL,1745
1100,1355,E,7,SKS-28-HO,1676
1101,1513,P,22,MKA-94-KM,1785
1102,1745,P,74,CXG-74-UG,1052
1103,1209,E,81,WFK-70-DX,1666
1104,1174,P,100,INK-20-DD,1856
1105,1239,P,16,MDW-48-KT,1833
1106,1297,P,59,ZHV-30-AI,1026
1107,1472,A,71,WKT-31-RM,1406
1108,1232,A,76,DCX-30-IH,1488
1109,1217,E,22,DWY-44-ZP,1303
1110,1666,E,44,DKA-24-ER,1506
1111,1754,A,39,CAQ-29-RQ,1383
1112,1618,E,53,GQK-41-SD,1113
1113,1966,P,30,VAU-58-NK,1398
1114,1972,P,69,XXB-85-OP,1347
1115,1490,E,52,QRF-28-IC,1297
1116,1250,P,2,RQM-04-UZ,1126
1117,1619,P,10,TJM-56-VQ,1944
1118,1840,A,38,JSI-45-HL,1055
1119,1424,P,82,PEP-25-RF,1584
1120,1565,E,85,CRY-72-EL,1072
1121,1608,E,55,XYV-53-NZ,1577
1122,1587,A,92,TDN-85-YG,1977
1123,1062,P,70,RRB-11-EI,1041
1124,1011,A,79,DLZ-58-QL,1075
1125,1632,P,70,WHK-65-EQ,1160
1126,1735,A,56,WMJ-17-CN,1448
1127,1769,A,18,WHI-39-SY,1337
1128,1253,E,64,FEP-50-XS,1593
1129,1607,P,61,UXN-24-CA,1319
1130,1926,P,32,KPO-31-IU,1042
1131,1445,E,86,LKZ-79-XN,1485
1132,1822,E,72,SIK-68-MG,1182
1133,1068,P,97,PDF-31-CB,1244
1134,1868,P,45,QQB-04-KR,1467
1135,1582,E,30,GWD-69-EM,1556
1136,1820,A,5,KRJ-09-XL,1150
1137,1606,P,27,JET-88-SI,1932
1138,1716,A,8,MSI-57-GB,1442
1139,1303,A,80,KAJ-88-QR,1159
1140,1798,A,78,ZIZ-00-QP,1280
1141,1893,A,87,KJI-93-KQ,1757
1142,1588,E,40,AZF-05-XY,1642
1143,1801,A,67,OUI-54-TL,1753
1144,1421,E,22,MNW-27-CC,1065
1145,1409,A,95,ZOE-46-FD,1550
1146,1515,A,3,YUY-00-VW,1725
1147,1912,P,57,IFK-98-BB,1461
1148,1733,A,47,LAD-93-MG,1712
1149,1076,E,18,ATQ-00-WU,1568
1150,1875,E,100,GCV-57-HC,1242
1151,1486,P,90,OVI-31-CH,1114
1152,1366,A,63,XZM-78-ZG,1923
1153,1353,P,99,MNQ-66-AI,1427
1154,1833,P,50,OYN-69-XY,1540
1155,1431,A,37,SIQ-79-PM,1473
1156,1292,P,70,LXS-75-YV,1560
1157,1374,P,50,HMQ-74-YN,1697
1158,1616,E,65,JJO-16-LD,1038
1159,1843,E,41,OYU-27-EX,1537
1160,1234,A,88,OFU-50-DY,1714
1161,1602,A,93,QSB-34-XO,1691
1162,1548,E,12,LSV-03-LA,1749
1163,1563,A,83,EYT-11-EL,1276
1164,1719,P,8,ZYP-26-PU,1110
1165,1464,A,96,FCU-95-CU,1662
1166,1714,A,65,SAX-90-RQ,1927
1167,1625,E,40,DOE-39-HU,1381
1168,1728,A,88,DHW-22-UW,1661
1169,1984,E,7,YQC-44-NK,1127
1170,1213,A,15,TNR-93-ZL,1908
1171,1221,E,6,JHK-28-KR,1679
1172,1703,P,93,SHV-53-HN,1190
1173,1339,A,23,OMD-78-KB,1521
1174,1197,E,14,CEM-69-NJ,1921
1175,1095,A,71,TEN-24-DD,1175
1176,1188,E,8,YGQ-35-HS,1693
1177,1301,E,46,DMG-48-EV,1330
1178,1048,P,50,ZFC-86-PD,1847
1179,1093,A,47,XTP-21-XU,1597
1180,1341,A,4,YGB-66-RS,1905
1181,1988,P,96,BRM-90-VS,1671
1182,1784,A,56,XQR-82-EJ,1542
1183,1627,A,96,YRW-70-CN,1829
1184,1280,P,20,ZWW-06-VF,1522
1185,1527,P,97,ODL-00-XH,1781
1186,1359,P,27,UAM-25-SQ,1456
1187,1106,E,51,MSI-39-OJ,1430
1188,1782,P,19,WXI-17-HQ,1335
1189,1245,A,84,DWU-41-PV,1227
1190,1308,A,25,VAA-01-VS,1253
1191,1519,E,17,UZH-76-HC,1155
1192,1312,A,96,URV-21-KS,1410
1193,1161,A,36,WZI-21-CB,1482
1194,1603,A,10,BSS-58-UC,1395
1195,1340,E,66,CRR-40-KX,1646
1196,1925,A,14,AJR-45-NX,1252
1197,1251,A,25,SXC-54-DJ,1342
1198,1179,E,44,NQV-19-QS,1356
1199,1447,E,44,HHB-28-OD,1219
1200,1413,P,31,LIN-92-VO,1493
1201,1111,E,53,CBP-97-MY,1259
1202,1484,E,37,YZW-98-UT,1186
1203,1126,P,91,HEQ-21-YY,1670
1204,1860,E,59,CTT-97-SJ,1667
1205,1699,A,33,BLU-72-IY,1239
1206,1795,A,33,ICN-01-CU,1414
1207,1885,P,54,XGD-99-YM,1791
1208,1497,P,68,BLV-83-QD,1345
