id,nombre,precio
1001,YFG-303390912,95
1002,FSE-065782888,46
1003,WFZ-147733590,10
1004,GIM-639042013,33
1005,NGX-785757180,36
1006,BAC-359164975,49
1007,SRW-278347448,74
1008,ZKK-130110232,63
1009,ZSN-920845673,29
1010,TBV-850673452,11
1011,XNW-596143670,48
1012,ABR-815810246,61
1013,NVC-922194166,17
1014,LBQ-545504607,55
1015,GJD-779664929,48
1016,FQZ-304828522,19
1017,LQT-033195529,100
1018,VSF-317704314,28
1019,XQB-527462620,31
1020,BRF-376319999,80
1021,TMY-498472268,7
1022,SOF-247294303,43
1023,ZGF-278545056,19
1024,AHW-155278180,61
1025,DRO-854188498,14
1026,ATY-636579188,7
1027,WIF-285108386,3
1028,JZT-298072460,86
1029,UTP-994529624,8
1030,PQM-413029733,67
1031,WSA-938860815,77
1032,EIH-917360584,50
1033,OKD-691764143,13
1034,NNG-387950846,4
1035,AUZ-043580191,99
1036,SHT-835651741,58
1037,HOL-346401389,24
1038,ZJB-818595056,53
1039,PCG-410441766,66
1040,EQU-198588730,90
1041,MRP-424239474,70
1042,VKF-818870662,8
1043,AFO-742391816,99
1044,VWT-836054314,1
1045,MIO-423066034,72
1046,NAB-909199790,68
1047,HKZ-713347226,2
1048,ZJO-396394397,34
1049,NYJ-324314263,71
1050,ZGN-221068504,98
1051,VLN-832470134,60
1052,AIG-783133358,7
1053,VZB-549953230,76
1054,ZIZ-603486276,86
1055,POK-543129395,71
1056,UOV-132389986,24
1057,OAN-660517339,55
1058,YMA-508861398,34
1059,IBZ-913704424,76
1060,XIP-926838308,36
1061,ZCE-199876093,34
1062,IJU-502782304,16
1063,XGU-360277689,85
1064,FYP-340825575,90
1065,FUK-756777330,50
1066,ILI-915236695,64
1067,QVW-271937024,8
1068,JBS-230481906,95
1069,XSP-136892284,26
1070,TCZ-886680842,53
1071,UBV-628162167,18
1072,TNJ-679960569,76
1073,SRJ-765323750,10
1074,HLP-503554136,92
1075,JUK-237309039,29
1076,EMM-517790767,83
1077,JPV-111077636,41
1078,MXF-702028654,87
1079,FWV-521357677,58
1080,UWO-735770423,65
1081,VAV-920736746,63
1082,GGQ-324881344,29
1083,XHU-345854908,20
1084,XOD-627586048,98
1085,YTC-945074652,79
1086,PUC-475124511,37
1087,DCI-114749403,23
1088,SZD-611217252,44
1089,MQF-833126202,12
1090,CVB-157911205,93
1091,JYK-645709552,7
1092,WKW-140658772,53
1093,IEZ-328851797,50
1094,YEG-485261900,88
1095,TQV-816947859,12
1096,TTF-771989929,10
1097,BBF-429024755,86
1098,KTM-476190753,85
1099,NFG-867745626,82
1100,LKY-396940020,72
1101,CUA-901005722,12
1102,VQA-602237183,11
1103,OYR-125309381,99
1104,SHY-288413398,94
1105,VJE-799429491,84
1106,UXP-699366767,56
1107,QRW-911668305,11
1108,RTP-315390072,66
1109,LAT-906184849,82
1110,RUL-232847685,2
1111,WMJ-129783968,46
1112,YIQ-723940150,78
1113,YKF-949336165,68
1114,ICI-668217103,8
1115,ACV-137037498,57
1116,ZDK-763273926,4
1117,UMV-764156426,32
1118,GYG-500237471,57
1119,IWA-769629623,46
1120,YLQ-517761060,72
1121,LTQ-512915684,37
1122,KCL-370739457,19
1123,FHW-309858227,53
1124,CBB-093355006,71
1125,WLV-110510489,70
1126,HIP-523173965,2
1127,ZRG-403151693,92
1128,IZI-822658526,97
1129,IOU-807821551,76
1130,EWF-534774462,9
1131,UUR-597839529,44
1132,BPP-201613489,36
1133,FXA-206664709,15
1134,VYN-739561853,67
1135,WLI-265585053,23
1136,YLD-588432876,41
1137,GYW-537437372,29
1138,DAH-169839600,67
1139,TWR-247142097,78
1140,STI-405766730,20
1141,TQJ-618466724,98
1142,OAX-983219490,15
1143,ODD-494533606,40
1144,AQN-027337856,58
1145,XZK-825390178,25
1146,YIQ-694588801,19
1147,EHS-001266336,99
1148,TOM-302037387,2
1149,GCG-373931383,32
1150,ZJL-528329644,3
1151,YJS-952836189,77
1152,XQW-665439832,24
1153,FLV-039956222,16
1154,OFK-259148760,31
1155,GMP-044750187,51
1156,MPB-385752595,66
1157,PYD-932655146,22
1158,OMP-135318312,99
1159,WMC-476290490,55
1160,YDB-029213194,46
1161,KHN-490963368,58
1162,YEL-795934305,48
1163,XMR-077689036,81
1164,QSG-243098491,6
1165,ZYU-870078476,65
1166,RSQ-801168833,34
1167,DKO-581786827,51
1168,POI-073166885,40
1169,JMJ-457144199,69
1170,VMY-305508015,62
1171,EKE-272953388,39
1172,MWL-316187595,58
1173,JKJ-402909527,2
1174,VLU-442026826,3
1175,NCS-344749097,80
1176,KMA-176965650,33
1177,FIU-765991045,1
1178,CHV-840405941,55
1179,XZT-988310094,66
1180,PHK-994831684,2
1181,WNC-550884490,28
1182,OFP-694012950,26
1183,XZZ-628974275,23
1184,VJN-481656439,57
1185,AOG-294282654,43
1186,INJ-965027181,60
1187,FRD-553854115,5
1188,XYI-689654759,83
1189,KKT-560598567,53
1190,WVE-202034112,54
1191,LSC-954014613,55
1192,NVI-791704051,55
1193,PMM-934532830,64
1194,CSI-858540554,41
1195,UJV-850300083,27
