idPlato,nitEmpresa,fechaCaducidad,unidadesDisponibles
1001,1001,2/18/2024,51
1002,1002,7/10/2023,95
1003,1003,12/8/2023,80
1004,1004,4/12/2024,47
1005,1005,10/31/2023,35
1006,1006,12/16/2023,100
1007,1007,11/20/2023,51
1008,1008,9/20/2023,58
1009,1009,3/23/2024,11
1010,1010,5/27/2023,96
1011,1011,8/3/2023,20
1012,1012,7/12/2023,51
1013,1013,9/12/2023,49
1014,1014,9/20/2023,92
1015,1015,5/24/2023,41
1016,1016,3/12/2024,57
1017,1017,5/3/2023,22
1018,1018,9/20/2023,38
1019,1019,7/8/2023,59
1020,1020,1/4/2024,41
1021,1021,11/8/2023,41
1022,1022,6/24/2023,29
1023,1023,6/15/2023,49
1024,1024,12/2/2023,31
1025,1025,11/27/2023,61
1026,1026,12/4/2023,40
1027,1027,3/30/2024,73
1028,1028,1/9/2024,49
1029,1029,4/7/2024,9
1030,1030,9/6/2023,66
1031,1031,10/19/2023,20
1032,1032,12/7/2023,93
1033,1033,4/4/2024,18
1034,1034,9/17/2023,28
1035,1035,1/19/2024,9
1036,1036,5/8/2023,55
1037,1037,8/8/2023,60
1038,1038,10/19/2023,75
1039,1039,1/1/2024,16
1040,1040,8/15/2023,32
1041,1041,1/27/2024,10
1042,1042,11/2/2023,97
1043,1043,3/2/2024,43
1044,1044,7/6/2023,27
1045,1045,2/27/2024,62
1046,1046,12/27/2023,92
1047,1047,9/19/2023,74
1048,1048,1/6/2024,71
1049,1049,9/8/2023,53
1050,1050,8/19/2023,9
1051,1051,5/24/2023,52
1052,1052,3/26/2024,54
1053,1053,1/16/2024,85
1054,1054,8/24/2023,25
1055,1055,10/19/2023,89
1056,1056,11/30/2023,30
1057,1057,2/27/2024,21
1058,1058,7/8/2023,16
1059,1059,1/10/2024,93
1060,1060,7/25/2023,37
1061,1061,8/28/2023,13
1062,1062,4/11/2024,1
1063,1063,4/17/2023,24
1064,1064,2/11/2024,63
1065,1065,11/15/2023,47
1066,1066,11/6/2023,24
1067,1067,7/17/2023,36
1068,1068,3/13/2024,75
1069,1069,10/24/2023,64
1070,1070,5/20/2023,25
1071,1071,9/8/2023,38
1072,1072,9/20/2023,37
1073,1073,5/26/2023,91
1074,1074,10/1/2023,84
1075,1075,3/24/2024,25
1076,1076,3/6/2024,96
1077,1077,5/18/2023,68
1078,1078,4/29/2023,72
1079,1079,1/18/2024,17
1080,1080,6/16/2023,8
1081,1081,5/29/2023,29
1082,1082,8/10/2023,48
1083,1083,11/7/2023,86
1084,1084,7/24/2023,93
1085,1085,6/25/2023,93
1086,1086,11/12/2023,31
1087,1087,9/5/2023,77
1088,1088,6/14/2023,28
1089,1089,1/20/2024,34
1090,1090,2/19/2024,42
1091,1091,1/7/2024,66
1092,1092,2/14/2024,18
1093,1093,4/12/2024,17
1094,1094,11/12/2023,19
1095,1095,11/17/2023,58
1096,1096,5/28/2023,77
1097,1097,8/4/2023,34
1098,1098,2/19/2024,71
1099,1099,8/21/2023,91
1100,1100,10/6/2023,85
1101,1101,2/26/2024,81
1102,1102,9/19/2023,82
1103,1103,5/21/2023,38
1104,1104,9/5/2023,40
1105,1105,2/8/2024,67
1106,1106,6/10/2023,33
1107,1107,2/20/2024,50
1108,1108,12/11/2023,58
1109,1109,1/8/2024,10
1110,1110,10/27/2023,82
1111,1111,2/2/2024,57
1112,1112,5/16/2023,29
1113,1113,8/21/2023,25
1114,1114,11/5/2023,37
1115,1115,7/14/2023,79
1116,1116,9/16/2023,8
1117,1117,10/14/2023,84
1118,1118,7/30/2023,98
1119,1119,7/7/2023,35
1120,1120,6/21/2023,46
1121,1121,1/20/2024,42
1122,1122,8/18/2023,61
1123,1123,5/31/2023,26
1124,1124,11/24/2023,3
1125,1125,2/10/2024,34
1126,1126,9/8/2023,33
1127,1127,4/13/2023,16
1128,1128,1/17/2024,33
1129,1129,4/12/2024,32
1130,1130,1/5/2024,31
1131,1131,4/23/2023,40
1132,1132,6/28/2023,89
1133,1133,11/19/2023,66
1134,1134,10/10/2023,82
1135,1135,11/19/2023,30
1136,1136,12/8/2023,68
1137,1137,8/31/2023,32
1138,1138,4/13/2023,69
1139,1139,10/8/2023,79
1140,1140,3/15/2024,65
1141,1141,3/8/2024,67
1142,1142,11/16/2023,28
1143,1143,11/18/2023,63
1144,1144,5/1/2023,87
1145,1145,3/21/2024,44
1146,1146,7/24/2023,13
1147,1147,4/5/2024,51
1148,1148,5/13/2023,15
1149,1149,7/6/2023,26
1150,1150,4/6/2024,45
1151,1151,12/13/2023,49
1152,1152,8/3/2023,41
1153,1153,7/22/2023,25
1154,1154,5/22/2023,20
1155,1155,4/2/2024,74
1156,1156,7/28/2023,22
1157,1157,3/20/2024,74
1158,1158,12/7/2023,58
1159,1159,11/29/2023,62
1160,1160,4/10/2024,4
1161,1161,2/3/2024,70
1162,1162,9/24/2023,78
1163,1163,8/28/2023,79
1164,1164,11/2/2023,23
1165,1165,4/24/2023,16
1166,1166,10/29/2023,2
1167,1167,10/11/2023,20
1168,1168,8/4/2023,57
1169,1169,5/5/2023,19
1170,1170,10/25/2023,2
1171,1171,7/19/2023,12
1172,1172,3/29/2024,60
1173,1173,1/2/2024,11
1174,1174,8/11/2023,53
1175,1175,2/24/2024,39
1176,1176,7/10/2023,36
1177,1177,1/23/2024,31
1178,1178,2/9/2024,6
1179,1179,8/16/2023,91
1180,1180,5/21/2023,10
1181,1181,2/4/2024,55
1182,1182,2/1/2024,77
1183,1183,1/7/2024,35
1184,1184,2/25/2024,66
1185,1185,12/18/2023,61
1186,1186,11/30/2023,76
1187,1187,4/7/2024,41
1188,1188,4/17/2023,33
1189,1189,8/12/2023,71
1190,1190,1/29/2024,35
1191,1191,4/11/2024,65
1192,1192,6/7/2023,51
1193,1193,8/14/2023,81
1194,1194,1/14/2024,76
1195,1195,10/3/2023,34
1196,1196,4/18/2023,50
1197,1197,9/6/2023,26
1198,1198,10/16/2023,41
1199,1199,2/8/2024,34
1200,1200,8/29/2023,41
1201,1201,6/4/2023,86
1202,1202,2/6/2024,92
1203,1203,7/20/2023,81
1204,1204,3/19/2024,67
1205,1205,3/27/2024,78
1206,1206,4/29/2023,46
1207,1207,5/28/2023,3
1208,1208,11/19/2023,43
1209,1209,11/12/2023,9
1210,1210,2/27/2024,52
1211,1211,4/4/2024,96
1212,1212,12/11/2023,73
1213,1213,12/31/2023,58
1214,1214,10/14/2023,7
1215,1215,10/12/2023,22
1216,1216,4/24/2023,69
1217,1217,6/26/2023,89
1218,1218,6/27/2023,35
1219,1219,10/12/2023,48
1220,1220,8/17/2023,22
1221,1221,4/1/2024,96
1222,1222,12/18/2023,10
1223,1223,2/20/2024,47
1224,1224,2/9/2024,81
1225,1225,10/28/2023,74
1226,1226,5/11/2023,90
1227,1227,1/26/2024,50
1228,1228,7/31/2023,92
1229,1229,11/4/2023,47
1230,1230,12/17/2023,83
1231,1231,2/26/2024,73
1232,1232,9/8/2023,7
1233,1233,9/20/2023,54
1234,1234,4/11/2024,53
1235,1235,1/29/2024,34
1236,1236,5/7/2023,32
1237,1237,4/21/2023,16
1238,1238,6/14/2023,11
1239,1239,10/26/2023,56
1240,1240,12/20/2023,27
1241,1241,7/15/2023,68
1242,1242,6/3/2023,94
1243,1243,10/18/2023,61
1244,1244,7/2/2023,48
1245,1245,3/28/2024,72
1246,1246,2/22/2024,60
1247,1247,11/22/2023,5
1248,1248,1/11/2024,100
1249,1249,1/15/2024,19
1250,1250,4/4/2024,56
1251,1251,7/31/2023,95
1252,1252,7/27/2023,26
1253,1253,1/14/2024,56
1254,1254,11/27/2023,70
1255,1255,10/31/2023,9
1256,1256,12/23/2023,16
1257,1257,9/2/2023,5
1258,1258,9/27/2023,25
1259,1259,7/5/2023,29
1260,1260,10/6/2023,68
1261,1261,7/20/2023,17
1262,1262,10/5/2023,85
1263,1263,12/9/2023,90
1264,1264,7/25/2023,69
1265,1265,6/10/2023,49
1266,1266,9/17/2023,9
1267,1267,7/1/2023,2
1268,1268,2/20/2024,58
1269,1269,11/21/2023,84
1270,1270,4/14/2023,60
1271,1271,3/24/2024,95
1272,1272,5/26/2023,17
1273,1273,4/12/2024,1
1274,1274,12/4/2023,100
1275,1275,4/1/2024,92
1276,1276,11/19/2023,39
1277,1277,4/18/2023,18
1278,1278,5/1/2023,91
1279,1279,2/15/2024,81
1280,1280,6/11/2023,40
1281,1281,7/12/2023,56
1282,1282,9/14/2023,96
1283,1283,1/24/2024,47
1284,1284,10/19/2023,55
1285,1285,7/30/2023,84
1286,1286,9/14/2023,51
1287,1287,4/28/2023,1
1288,1288,12/22/2023,55
1289,1289,5/27/2023,22
1290,1290,1/15/2024,9
1291,1291,10/25/2023,69
1292,1292,11/16/2023,85
1293,1293,9/25/2023,81
1294,1294,7/15/2023,92
1295,1295,11/7/2023,28
1296,1296,6/16/2023,32
1297,1297,2/4/2024,44
1298,1298,11/8/2023,51
1299,1299,1/16/2024,4
1300,1300,10/16/2023,37
1301,1301,6/7/2023,7
1302,1302,8/30/2023,100
1303,1303,5/5/2023,31
1304,1304,9/28/2023,10
1305,1305,11/1/2023,51
1306,1306,3/13/2024,34
1307,1307,8/18/2023,66
1308,1308,2/6/2024,29
1309,1309,9/26/2023,25
1310,1310,5/17/2023,96
1311,1311,10/11/2023,16
1312,1312,7/25/2023,98
1313,1313,4/21/2023,36
1314,1314,3/29/2024,63
1315,1315,2/7/2024,69
1316,1316,11/8/2023,1
1317,1317,3/13/2024,42
1318,1318,2/11/2024,25
1319,1319,5/17/2023,2
1320,1320,12/26/2023,95
1321,1321,2/7/2024,93
1322,1322,8/30/2023,82
1323,1323,2/16/2024,40
1324,1324,5/4/2023,22
1325,1325,10/13/2023,43
1326,1326,2/4/2024,66
1327,1327,4/5/2024,58
1328,1328,2/16/2024,15
1329,1329,6/19/2023,4
1330,1330,2/9/2024,78
1331,1331,5/11/2023,91
1332,1332,6/28/2023,43
1333,1333,12/19/2023,95
1334,1334,10/5/2023,9
1335,1335,6/22/2023,82
1336,1336,4/21/2023,16
1337,1337,1/11/2024,22
1338,1338,11/30/2023,32
1339,1339,9/18/2023,74
1340,1340,10/21/2023,55
1341,1341,10/8/2023,2
1342,1342,9/22/2023,28
1343,1343,11/16/2023,19
1344,1344,6/14/2023,63
1345,1345,8/6/2023,45
1346,1346,6/30/2023,90
1347,1347,10/25/2023,6
1348,1348,11/6/2023,16
1349,1349,7/1/2023,2
1350,1350,5/11/2023,27
1351,1351,4/13/2023,66
1352,1352,1/3/2024,1
1353,1353,10/16/2023,27
1354,1354,6/9/2023,94
1355,1355,1/20/2024,36
1356,1356,9/25/2023,36
1357,1357,6/4/2023,44
1358,1358,7/25/2023,44
1359,1359,12/16/2023,36
1360,1360,4/22/2023,34
1361,1361,9/5/2023,23
1362,1362,7/17/2023,87
1363,1363,1/24/2024,91
1364,1364,8/2/2023,18
1365,1365,11/7/2023,32
1366,1366,3/19/2024,68
1367,1367,8/19/2023,71
1368,1368,6/14/2023,43
1369,1369,11/6/2023,33
1370,1370,10/16/2023,70
1371,1371,8/28/2023,14
1372,1372,3/15/2024,57
1373,1373,12/7/2023,81
1374,1374,2/12/2024,45
1375,1375,10/1/2023,63
1376,1376,10/1/2023,45
1377,1377,6/5/2023,60
1378,1378,10/30/2023,7
1379,1379,12/2/2023,43
1380,1380,8/26/2023,74
1381,1381,11/11/2023,43
1382,1382,3/12/2024,37
1383,1383,12/25/2023,18
1384,1384,5/28/2023,99
1385,1385,5/14/2023,81
1386,1386,5/22/2023,1
1387,1387,6/30/2023,76
1388,1388,9/21/2023,10
1389,1389,3/2/2024,78
1390,1390,12/13/2023,49
1391,1391,12/29/2023,31
1392,1392,12/31/2023,9
1393,1393,4/28/2023,69
1394,1394,2/28/2024,78
1395,1395,9/8/2023,12
1396,1396,10/24/2023,56
1397,1397,11/8/2023,19
1398,1398,2/29/2024,23
1399,1399,4/5/2024,80
1400,1400,4/11/2024,94
1401,1401,12/20/2023,93
1402,1402,11/25/2023,36
1403,1403,9/2/2023,4
1404,1404,4/15/2023,77
1405,1405,4/18/2023,19
1406,1406,10/24/2023,100
1407,1407,10/13/2023,93
